cohort,normalization,n_tp,n_fp,spectrum_rmsd,peak_freq_cycle,peak_deviation,direction,n_perm,p_value
gangnam,raw,117,447,0.33852474682865646,3,-1.228968361515662,TP < FP,2000,0.5292353823088456
gangnam,patient_norm,117,447,0.0007692329819231026,3,-0.002833135973902806,TP < FP,2000,0.7786106946526736
gangnam,global_zscore,117,447,0.0034220713483653496,3,-0.012423367737186108,TP < FP,2000,0.5292353823088456
gangnam,standard_scaler,117,447,0.0037792389679697064,1,0.018390044432562924,TP > FP,2000,0.312343828085957
sinchon,raw,131,398,0.4240729230329488,1,-2.6901420662746602,TP < FP,2000,0.19140429785107446
sinchon,patient_norm,131,398,0.001510052582660876,2,0.008533049225033042,TP > FP,2000,0.3448275862068966
sinchon,global_zscore,131,398,0.005074138485725484,1,-0.03218822199948107,TP < FP,2000,0.19140429785107446
sinchon,standard_scaler,131,398,0.0040155578149603036,2,0.029153310533697088,TP > FP,2000,0.2938530734632684
