head_hidden,feature,internal_oof_auc,delta_vs_clinic4
16,HTN,0.8017593390591102,0.00645487235876252
32,HTN,0.787461737347321,-0.007842729353026767
16,DM,0.6996692744182923,-0.018892908706308886
32,DM,0.6892900312258671,-0.02927215189873411
16,CKD,0.7493851613435668,-0.016695551704217215
32,CKD,0.7033836758273501,-0.06269703722043396
