feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,stacking,internal,1259,385,0.8024815001931707,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,stacking,external,1123,507,0.7230173672481366,0.6931778917047123,0.7543855770717034
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,stacking,internal,1259,232,0.7153451633482187,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,stacking,external,1123,335,0.6644745814076823,0.6312981575577824,0.6991426019767762
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,stacking,internal,1259,105,0.7447553024676075,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,stacking,external,1123,188,0.6308908863351917,0.5861659218366152,0.674550325057745
