freq_hidden,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
16,16,HTN,0.7859252875271181,-0.009379179173229613
16,32,HTN,0.7782846444173674,-0.017019822282980268
32,16,HTN,0.7778715563612588,-0.017432910339088892
32,32,HTN,0.7731091562899343,-0.02219531041041345
16,16,DM,0.7123316992915422,-0.0062304838330590195
16,32,DM,0.6893781687539873,-0.02918401437061391
32,16,DM,0.7126359836148138,-0.005926199509787344
32,32,DM,0.718027062418158,-0.0005351207064432373
16,16,CKD,0.718651481389783,-0.04742923165800106
16,32,CKD,0.764314599323265,-0.0017661137245190695
32,16,CKD,0.7471981513575968,-0.018882561690187205
32,32,CKD,0.7518775274407857,-0.014203185606998292
