panel,group,mean_abs_deviation_all_slices,max_abs_deviation_all_slices,max_abs_deviation_slice,R1_mean_abs_deviation,R1_max_abs_deviation,R2_mean_abs_deviation,R2_max_abs_deviation,R3_mean_abs_deviation,R3_max_abs_deviation,R4_mean_abs_deviation,R4_max_abs_deviation
Clinical + vs Clinical -,Clinical + (n=536),0.007885156338064202,0.01599178069144569,69,0.00400539483091536,0.008711002264320311,0.014549087819860048,0.01599178069144569,0.007860325197506863,0.011182891539965878,0.006021981055032127,0.010005833901036931
Clinical + vs Clinical -,Clinical - (n=390),0.010837035377442357,0.0219784473092699,69,0.005504850331720175,0.011972044137633198,0.019995669413962094,0.0219784473092699,0.01080290847657344,0.015369307347229966,0.008276363706403481,0.013751607617832229
Low SMI + vs Non-low SMI,Low SMI + (n=141),0.01936385628785016,0.038044135374939114,109,0.022166333521198362,0.02434433934091862,0.007137155475431649,0.018100894258726963,0.03193974234756103,0.038044135374939114,0.026754325288582032,0.034952199776838055
Low SMI + vs Non-low SMI,Non-low SMI (n=785),0.003478093931957806,0.006833405207472776,109,0.003981468823552751,0.004372677512190615,0.0012819604102370004,0.00325124342736427,0.005736947351600043,0.006833405207472776,0.00480555396903191,0.006278038431252964
Clinical+/AEC- vs Clinical+/AEC+,Clinical+ / AEC- (n=480),0.001227450839701951,0.005190188194539869,118,0.0003867338416833066,0.000724346636817419,0.0007163616220081706,0.001185099057908201,0.0023507369639960383,0.005190188194539869,0.0032599096498561,0.005190188194539869
Clinical+/AEC- vs Clinical+/AEC+,Clinical+ / AEC+ (n=56),0.010521007197445571,0.044487327381770636,118,0.00331486150014366,0.0062086854584388895,0.006140242474355929,0.010157991924927834,0.020149173977109715,0.044487327381770636,0.027942082713053512,0.044487327381770636
