comparison,n_group1,n_group2,mean_abs_between_group_difference,R1_group1_minus_group2,R2_group1_minus_group2,R3_group1_minus_group2,R4_group1_minus_group2
Clinical + vs Clinical -,536,390,0.01872219171550656,-0.009510245162635536,-0.034544757233822145,0.01839871839838687,0.013592970692919787
Low SMI + vs Non-low SMI,141,785,0.02284195021980797,-0.026147802344751114,-0.00833223274910895,0.037676689699161076,0.03155987925761394
Clinical+/AEC- vs Clinical+/AEC+,480,56,0.011748458037147521,-0.0037015953418269667,-0.006726388469341649,0.02175111234109206,0.03000140662579671
