panel,group,mean_abs_deviation_all_slices,max_abs_deviation_all_slices,max_abs_deviation_slice,R1_mean_abs_deviation,R1_max_abs_deviation,R2_mean_abs_deviation,R2_max_abs_deviation,R3_mean_abs_deviation,R3_max_abs_deviation,R4_mean_abs_deviation,R4_max_abs_deviation
Clinical + vs Clinical -,Clinical + (n=571),0.012933985058474443,0.025932703268206403,74,0.003666098285395223,0.00851160576217913,0.02089439343788881,0.025932703268206403,0.005782446799333658,0.010915506277257458,0.006769385420482101,0.010915506277257458
Clinical + vs Clinical -,Clinical - (n=519),0.014229875661635718,0.028530970262322874,74,0.004033414491253755,0.009364406339505305,0.022987858676367098,0.028530970262322874,0.006361805630865868,0.012009160085381443,0.007447628275712974,0.012009160085381443
Low SMI + vs Non-low SMI,Low SMI + (n=129),0.01546618595219804,0.03497333472307551,121,0.006501436059378816,0.009766578705392215,0.025622947043867934,0.03328322204923673,0.018489243865020533,0.03497333472307551,0.030233823957061385,0.03497333472307551
Low SMI + vs Non-low SMI,Non-low SMI (n=961),0.002076106126777972,0.004694651591339638,121,0.0008727213857019356,0.0013110183694016175,0.003439500695795114,0.004467779026380625,0.0024819068247532716,0.004694651591339638,0.004058442549907522,0.004694651591339638
Clinical+/AEC- vs Clinical+/AEC+,Clinical+ / AEC- (n=518),0.001113062145180704,0.004242930071085782,118,0.001243723762263338,0.0014359939266685995,0.0005509127602234681,0.0009781282934281377,0.0021730763195664804,0.004242930071085782,0.0028333516434335404,0.004242930071085782
Clinical+/AEC- vs Clinical+/AEC+,Clinical+ / AEC+ (n=53),0.010878607381200462,0.041468637298536115,118,0.012155639789670816,0.014034808566305568,0.005384392637655426,0.009559819924448765,0.02123874591576246,0.041468637298536115,0.02769200285469071,0.041468637298536115
