feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
vat,internal,aec_segment,seg2_1,2.0,1.0,0.353294902005715,5.247224885978405e-22,700
vat,internal,aec_segment,seg2_2,2.0,2.0,0.6201883583336556,1.2417530435626427e-75,700
total_fat,internal,aec_segment,seg2_1,2.0,1.0,0.4333673032594395,2.048293659243425e-33,700
total_fat,internal,aec_segment,seg2_2,2.0,2.0,0.5984760279104352,3.093499019416588e-69,700
vat_sat,internal,aec_segment,seg2_1,2.0,1.0,0.1284157724837341,0.0006601886879524058,700
vat_sat,internal,aec_segment,seg2_2,2.0,2.0,0.4145266393694607,1.9170791337848004e-30,700
vat_total_fat,internal,aec_segment,seg2_1,2.0,1.0,0.1416175632481816,0.0001705163356362259,700
vat_total_fat,internal,aec_segment,seg2_2,2.0,2.0,0.42530984985095477,4.0281609625343604e-32,700
vat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.28398368568109844,1.8841821525850138e-14,700
vat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.572428601972414,3.5167809629032193e-62,700
sat_total_fat,internal,aec_segment,seg2_1,2.0,1.0,-0.14161756324818153,0.0001705163356362259,700
sat_total_fat,internal,aec_segment,seg2_2,2.0,2.0,-0.42530984985095477,4.0281609625343604e-32,700
sat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.37941414756637226,2.1798351816762097e-25,700
sat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.4847319282365883,1.5744354680124266e-42,700
total_fat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.38368492920132025,5.69532847913535e-26,700
total_fat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.5768863004369152,2.417617417676644e-63,700
sat,external,aec_segment,seg2_1,2.0,1.0,0.5043846281315091,1.6967015794135785e-33,498
sat,external,aec_segment,seg2_2,2.0,2.0,0.5415404213635787,2.7148924074151902e-39,498
vat,external,aec_segment,seg2_1,2.0,1.0,0.3116995978490149,1.1075499236791818e-12,498
vat,external,aec_segment,seg2_2,2.0,2.0,0.516701917356319,2.437666324460326e-35,498
total_fat,external,aec_segment,seg2_1,2.0,1.0,0.4773486240029844,1.048625209500782e-29,498
total_fat,external,aec_segment,seg2_2,2.0,2.0,0.5761937425520872,2.1695088814682216e-45,498
vat_sat,external,aec_segment,seg2_1,2.0,1.0,-0.0775395455038326,0.08387698877280561,498
vat_sat,external,aec_segment,seg2_2,2.0,2.0,0.11571338658700692,0.009753513843678783,498
vat_total_fat,external,aec_segment,seg2_1,2.0,1.0,-0.05767311686995557,0.19883991576892338,498
vat_total_fat,external,aec_segment,seg2_2,2.0,2.0,0.16782457372823983,0.00016824664527674237,498
vat_tama,external,aec_segment,seg2_1,2.0,1.0,0.17007893237631475,0.00013687396318584787,498
vat_tama,external,aec_segment,seg2_2,2.0,2.0,0.39384575964111357,6.308086434215852e-20,498
sat_total_fat,external,aec_segment,seg2_1,2.0,1.0,0.05767311686995551,0.19883991576892338,498
sat_total_fat,external,aec_segment,seg2_2,2.0,2.0,-0.1678245737282399,0.00016824664527673907,498
sat_tama,external,aec_segment,seg2_1,2.0,1.0,0.35473207305417154,3.2614051870615453e-16,498
sat_tama,external,aec_segment,seg2_2,2.0,2.0,0.39759112718966005,2.6142507942667755e-20,498
total_fat_tama,external,aec_segment,seg2_1,2.0,1.0,0.32223622418900755,1.7008097056378226e-13,498
total_fat_tama,external,aec_segment,seg2_2,2.0,2.0,0.43978922406561377,5.70775555400482e-25,498
sat,internal,aec_segment,seg4_1,4.0,1.0,0.34837317011116276,2.1027740558872462e-21,700
sat,internal,aec_segment,seg4_2,4.0,2.0,0.48452195511462726,1.7283284690661683e-42,700
sat,internal,aec_segment,seg4_3,4.0,3.0,0.5409691018870595,1.8539976571845416e-54,700
sat,internal,aec_segment,seg4_4,4.0,4.0,0.4779871952011795,3.04900343699186e-41,700
vat,internal,aec_segment,seg4_1,4.0,1.0,0.23539959956505896,2.8674855596334947e-10,700
vat,internal,aec_segment,seg4_2,4.0,2.0,0.46245431996999453,2.1939604031539804e-38,700
vat,internal,aec_segment,seg4_3,4.0,3.0,0.6456202012722603,8.564773659949282e-84,700
vat,internal,aec_segment,seg4_4,4.0,4.0,0.5747657419527819,8.684490117179223e-63,700
total_fat,internal,aec_segment,seg4_1,4.0,1.0,0.3363039578944611,5.709300765046594e-20,700
total_fat,internal,aec_segment,seg4_2,4.0,2.0,0.5169690917107115,4.293728310259061e-49,700
total_fat,internal,aec_segment,seg4_3,4.0,3.0,0.6243269239958493,6.56485515499259e-77,700
total_fat,internal,aec_segment,seg4_4,4.0,4.0,0.5532117922779388,2.29388043609537e-57,700
vat_sat,internal,aec_segment,seg4_1,4.0,1.0,0.0319624614922206,0.3984729293272752,700
vat_sat,internal,aec_segment,seg4_2,4.0,2.0,0.22478873296834487,1.8116595240881061e-09,700
vat_sat,internal,aec_segment,seg4_3,4.0,3.0,0.4283724984374063,1.3106014315202898e-32,700
vat_sat,internal,aec_segment,seg4_4,4.0,4.0,0.38761393634312613,1.6278169221869709e-26,700
vat_total_fat,internal,aec_segment,seg4_1,4.0,1.0,0.04515740317949918,0.2327808418886811,700
vat_total_fat,internal,aec_segment,seg4_2,4.0,2.0,0.2374169516909934,1.9991012782914487e-10,700
vat_total_fat,internal,aec_segment,seg4_3,4.0,3.0,0.43656597779823225,6.13857696452028e-34,700
vat_total_fat,internal,aec_segment,seg4_4,4.0,4.0,0.4009227800806856,2.059059309654733e-28,700
vat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.16807055116138303,7.79928710588391e-06,700
vat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.3940958497538092,1.986294426684196e-27,700
vat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.6010434769793592,5.748778450457985e-70,700
vat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.524881686317729,8.154788806082642e-51,700
sat_total_fat,internal,aec_segment,seg4_1,4.0,1.0,-0.04515740317949917,0.2327808418886811,700
sat_total_fat,internal,aec_segment,seg4_2,4.0,2.0,-0.23741695169099336,1.9991012782914487e-10,700
