feature,clinic4,top1,top2,top3,top4,top5,top6,top7,top8,delta_r2_vs_clinic4_top1,delta_r2_vs_clinic4_top2,delta_r2_vs_clinic4_top3,delta_r2_vs_clinic4_top4,delta_r2_vs_clinic4_top5,delta_r2_vs_clinic4_top6,delta_r2_vs_clinic4_top7,delta_r2_vs_clinic4_top8,delta_r2_vs_top8_top1,delta_r2_vs_top8_top2,delta_r2_vs_top8_top3,delta_r2_vs_top8_top4,delta_r2_vs_top8_top5,delta_r2_vs_top8_top6,delta_r2_vs_top8_top7
IMATA_SUM,0.2626,0.339,0.3353,0.3318,0.3318,0.3446,0.3471,0.3363,0.3469,0.0764,0.0727,0.0692,0.0692,0.082,0.0845,0.0737,0.0843,-0.008,-0.0116,-0.0152,-0.0151,-0.0023,0.0002,-0.0106
LAMA_SUM,0.287,0.3166,0.3139,0.2973,0.3365,0.3318,0.3449,0.3498,0.3522,0.0296,0.0269,0.0104,0.0496,0.0449,0.058,0.0629,0.0653,-0.0356,-0.0383,-0.0549,-0.0157,-0.0204,-0.0073,-0.0024
NAMA_SUM,0.3017,0.3169,0.3233,0.3144,0.3297,0.3342,0.3313,0.3276,0.3417,0.0152,0.0216,0.0127,0.028,0.0325,0.0296,0.0259,0.0401,-0.0248,-0.0184,-0.0274,-0.012,-0.0076,-0.0104,-0.0142
SAT(피하지방)_SUM,0.378,0.4204,0.4296,0.4268,0.4209,0.4184,0.4139,0.42,0.4148,0.0424,0.0516,0.0488,0.0428,0.0404,0.0359,0.0419,0.0368,0.0056,0.0148,0.0121,0.0061,0.0036,-0.0009,0.0052
TAMA_SUM,0.3912,0.3872,0.3834,0.3788,0.376,0.3743,0.3803,0.3821,0.3805,-0.0039,-0.0078,-0.0124,-0.0152,-0.0169,-0.0109,-0.0091,-0.0107,0.0068,0.0029,-0.0017,-0.0045,-0.0062,-0.0002,0.0016
Total Fat_SUM,0.4193,0.4706,0.4759,0.4875,0.4831,0.4867,0.4945,0.4938,0.4952,0.0513,0.0565,0.0682,0.0638,0.0674,0.0751,0.0745,0.0759,-0.0246,-0.0193,-0.0077,-0.0121,-0.0085,-0.0008,-0.0014
VAT(내장지방)_SUM,0.3688,0.4126,0.4101,0.4238,0.4535,0.4734,0.4861,0.493,0.5018,0.0438,0.0413,0.055,0.0847,0.1046,0.1173,0.1242,0.133,-0.0892,-0.0917,-0.078,-0.0483,-0.0284,-0.0157,-0.0088
