covariate,smd_before,smd_after
sex_m,0.5446963561034869,-0.07099870408737836
age_std,0.17345579745513767,0.012527094337227412
height_std,0.6195039878221159,-0.08553967996060158
weight_std,-0.3564868958070287,-0.10329475300085997
