feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
peak_pos,aec_shape,Mann-Whitney U,0.6796875,0.5078125,median,-0.15707757318495563,rank_biserial_r,117,447,0.008753929395590224,0.09054698370285724,False
sex_m,clinic,Fisher exact,0.6153846153846154,0.4854586129753915,proportion=1,1.695852534562212,odds_ratio,117,447,0.012831110385658803,0.09054698370285724,False
height_std,clinic,Mann-Whitney U,0.5983042328025556,0.3423434087889075,median,-0.14581540756037392,rank_biserial_r,117,447,0.015091163950476206,0.09054698370285724,False
age_std,clinic,Mann-Whitney U,0.3288179623716264,0.002023725777076498,median,-0.13109237270311103,rank_biserial_r,117,447,0.028893563492914713,0.11412593026966632,False
weight_std,clinic,Mann-Whitney U,-0.464425796729964,-0.21900988607940378,median,0.12891259871125638,rank_biserial_r,117,447,0.031701647297129536,0.11412593026966632,False
peak_val,aec_shape,Mann-Whitney U,0.14460806362914333,0.12879145330506053,median,-0.11830054111933297,rank_biserial_r,117,447,0.0487171264249257,0.14615137927477712,False
kurtosis,aec_shape,Mann-Whitney U,-0.8184091885159344,-0.9624158670547152,median,-0.10694277137230168,rank_biserial_r,117,447,0.07478324497182531,0.19229977278469365,False
slope_late,aec_shape,Mann-Whitney U,0.00013858830539573985,-0.00017794446672349685,median,-0.09722939253140606,rank_biserial_r,117,447,0.1052481122994466,0.23680825267375485,False
early_late_diff,aec_shape,Mann-Whitney U,-0.011708213188843047,0.027301987675108275,median,0.08090020841698697,rank_biserial_r,117,447,0.17771809884416978,0.35543619768833956,False
range,aec_shape,Mann-Whitney U,0.28300444706859973,0.26972630682258936,median,-0.07726725176389615,rank_biserial_r,117,447,0.19799872138198282,0.3563976984875691,False
skew,aec_shape,Mann-Whitney U,0.0442991941586257,0.030119448703781117,median,-0.06759211457198044,rank_biserial_r,117,447,0.2601459130447733,0.42569331225508356,False
centroid,aec_shape,Mann-Whitney U,0.543703535113255,0.5401805874028185,median,-0.05887301860456229,rank_biserial_r,117,447,0.32671602966427615,0.49007404449641423,False
slope_early,aec_shape,Mann-Whitney U,-7.741682902954528e-05,-0.0002030554407171156,median,-0.046750415877932605,rank_biserial_r,117,447,0.43613454714008193,0.6038786037324212,False
trough_pos,aec_shape,Mann-Whitney U,0.59375,0.6171875,median,0.03376737604925528,rank_biserial_r,117,447,0.5734463613575684,0.7372881788883022,False
std,aec_shape,Mann-Whitney U,0.08123027897139118,0.07752893808226191,median,-0.028203216122679287,rank_biserial_r,117,447,0.6385951522236858,0.7663141826684229,False
frac_above_center,aec_shape,Mann-Whitney U,0.5,0.4921875,median,-0.022046310636914646,rank_biserial_r,117,447,0.7134560707587172,0.798733086979983,False
total_abs_dev,aec_shape,Mann-Whitney U,0.06774588250735766,0.06494332309948764,median,-0.018795770473622797,rank_biserial_r,117,447,0.7543590265922062,0.798733086979983,False
trough_val,aec_shape,Mann-Whitney U,-0.13414166873604158,-0.12997048580895187,median,0.0067496510449530644,rank_biserial_r,117,447,0.910697696411011,0.910697696411011,False
