figure,comparison,curve_type,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
16_aec_curve_tp_vs_tn.png,Stage-1 TP vs TN,p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.032478281694537925,74,-0.061155430522954246,TP (true low-SMI) < TN (true negative),2000,0.001999000499750125,,True
16_aec_curve_tp_vs_tn_dp.png,Stage-1 TP vs TN (dp),dp,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.0026038813494881547,128,-0.009362625317446572,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_d2p.png,Stage-1 TP vs TN (d2p),d2p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.0005869706677767765,120,-0.001542331509220636,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn.png,Stage-1 FP vs TN,p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.028653911172046242,73,-0.050114436031798104,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_dp.png,Stage-1 FP vs TN (dp),dp,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.0020657506236276308,122,-0.005683030142965851,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_d2p.png,Stage-1 FP vs TN (d2p),d2p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.00037302875183075837,118,-0.0013144649791730638,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
18_aec_curve_tp_vs_fp.png,Stage-1 TP vs FP,p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.015474201573622188,124,0.04322054899728256,TP (true low-SMI) > FP (false positive),2000,0.2273863068465767,,False
18_aec_curve_tp_vs_fp_dp.png,Stage-1 TP vs FP (dp),dp,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.0011674320804765574,128,-0.004259734561412511,TP (true low-SMI) < FP (false positive),2000,0.15542228885557222,,False
18_aec_curve_tp_vs_fp_d2p.png,Stage-1 TP vs FP (d2p),d2p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.00048469770223095223,108,-0.0014565179782279486,TP (true low-SMI) < FP (false positive),2000,0.19890054972513743,,False
19_aec_curve_tp_vs_fp_matched.png,Stage-1 TP vs FP (propensity-matched),p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.005655549944208844,105,-0.014558577708527198,TP (true low-SMI) < FP (false positive),2000,0.9830084957521239,97.0,False
19_aec_curve_tp_vs_fp_matched_dp.png,Stage-1 TP vs FP (propensity-matched) (dp),dp,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.000932906630787126,56,0.002887118071738238,TP (true low-SMI) > FP (false positive),2000,0.9815092453773113,97.0,False
19_aec_curve_tp_vs_fp_matched_d2p.png,Stage-1 TP vs FP (propensity-matched) (d2p),d2p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.0006168773808552742,105,0.001958922296022152,TP (true low-SMI) > FP (false positive),2000,0.4777611194402799,97.0,False
