disease,n,n_pos,prevalence,auc,threshold,sensitivity,specificity,accuracy
DM,10400,1216,0.11692307692307692,0.6404848642662296,0.11193603401188668,0.6603618421052632,0.5499782229965157,0.5628846153846154
HTN,10400,2104,0.2023076923076923,0.6578637123209317,0.19229798116932278,0.6749049429657795,0.5649710703953713,0.5872115384615385
DL,10400,2070,0.19903846153846153,0.5504441486739624,0.19316853247168017,0.6019323671497585,0.47911164465786316,0.5035576923076923
Osteoporosis,10400,565,0.05432692307692308,0.7778222080253385,0.05655044779334617,0.8442477876106195,0.6226741230299949,0.6347115384615385
MI,10400,80,0.007692307692307693,0.7015558381782946,0.005228788292078302,0.8875,0.4583333333333333,0.46163461538461537
Stroke,10400,358,0.034423076923076924,0.6801243436783387,0.03757107156347903,0.6033519553072626,0.6891057558255328,0.6861538461538461
