feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,tuned_C,tuned_penalty,sensitivity,specificity,accuracy
HTN,clinic6,internal,1147,344,0.2999128160418483,0.8117814011410698,,,0.31438420291140334,1.0,l2,0.7296511627906976,0.7521793275217933,0.7454228421970357
HTN,clinic6,external,1015,463,0.45615763546798027,0.7434344382884153,0.7131107108626715,0.773502977385793,0.31438420291140334,1.0,l2,0.7408207343412527,0.6340579710144928,0.6827586206896552
HTN,clinic6_fpca3,internal,1147,344,0.2999128160418483,0.8173709056155695,,,0.19871092087111658,1.0,l1,0.872093023255814,0.6064757160647571,0.6861377506538797
HTN,clinic6_fpca3,external,1015,463,0.45615763546798027,0.7478206091338779,0.7186718238290595,0.7775113526650842,0.19871092087111658,1.0,l1,0.8142548596112311,0.5489130434782609,0.6699507389162561
HTN,clinic6_uplow_ratio,internal,1147,344,0.2999128160418483,0.8140041704074836,,,0.3281191831112202,1.0,l2,0.7063953488372093,0.7646326276463262,0.7471665213600698
HTN,clinic6_uplow_ratio,external,1015,463,0.45615763546798027,0.7454964472407426,0.715936989673544,0.7754615249773694,0.3281191831112202,1.0,l2,0.712742980561555,0.6467391304347826,0.6768472906403941
DM,clinic6,internal,1147,211,0.1839581517000872,0.7299185806294812,,,0.13317851192257918,1.0,l1,0.8578199052132701,0.5224358974358975,0.5841325196163906
DM,clinic6,external,1015,315,0.3103448275862069,0.6937460317460317,0.6602963583642164,0.7259921749835974,0.13317851192257918,1.0,l1,0.8444444444444444,0.4057142857142857,0.541871921182266
DM,clinic6_fpca3,internal,1147,211,0.1839581517000872,0.7430884676145341,,,0.12072619358921614,1.0,l1,0.8720379146919431,0.5138888888888888,0.5797733217088056
DM,clinic6_fpca3,external,1015,315,0.3103448275862069,0.7055147392290249,0.6719980968716115,0.73871871242126,0.12072619358921614,1.0,l1,0.9079365079365079,0.3057142857142857,0.49261083743842365
DM,clinic6_uplow_ratio,internal,1147,211,0.1839581517000872,0.7410124762020498,,,0.1666036366282266,0.1,l2,0.7677725118483413,0.6196581196581197,0.6469049694856146
DM,clinic6_uplow_ratio,external,1015,315,0.3103448275862069,0.7015147392290251,0.667358809065955,0.7343152818362794,0.1666036366282266,0.1,l2,0.7555555555555555,0.53,0.6
CKD,clinic6,internal,1147,90,0.07846556233653008,0.7835278040576055,,,0.0692357884731801,100.0,l1,0.8111111111111111,0.663197729422895,0.6748038360941587
CKD,clinic6,external,1015,171,0.1684729064039409,0.6250173221363045,0.5792114064452558,0.6718797726477734,0.0692357884731801,100.0,l1,0.6198830409356725,0.542654028436019,0.5556650246305419
CKD,clinic6_fpca3,internal,1147,90,0.07846556233653008,0.790612845579733,,,0.049073705707635834,100.0,elasticnet,0.9222222222222223,0.5771050141911069,0.6041848299912816
CKD,clinic6_fpca3,external,1015,171,0.1684729064039409,0.6323757656384247,0.5868414053935846,0.6795739603325535,0.049073705707635834,100.0,elasticnet,0.672514619883041,0.4928909952606635,0.5231527093596059
CKD,clinic6_uplow_ratio,internal,1147,90,0.07846556233653008,0.7923683380637022,,,0.04686810977565568,10.0,l1,0.9333333333333333,0.5619678334910123,0.5911072362685266
CKD,clinic6_uplow_ratio,external,1015,171,0.1684729064039409,0.6447922729414373,0.5993677543099079,0.6915537451253769,0.04686810977565568,10.0,l1,0.7543859649122807,0.4206161137440758,0.4768472906403941
