cohort,sens_stage1,spec_stage1,sens_combined,spec_combined,acc_combined,ppv_combined,npv_combined,sens_delta,spec_delta,mcnemar_sens_p,mcnemar_spec_p,verdict,ni_sens_drop,ni_ci_upper_97.5,ni_margin,ni_verdict
internal,0.9069767441860465,0.5359001040582726,0.8992248062015504,0.5442247658688866,0.5862385321100917,0.20938628158844766,0.9757462686567164,-0.007751937984496027,0.008324661810613976,1.0,0.0078125,PASS,0.007751937984496027,0.0367718209497858,0.05,NON-INFERIOR
external,0.9290780141843972,0.49044585987261147,0.9219858156028369,0.5057324840764331,0.5691144708423326,0.25096525096525096,0.9730392156862745,-0.007092198581560294,0.015286624203821653,1.0,0.00048828125,PASS,0.007092198581560294,0.03488804340282557,0.05,NON-INFERIOR
