feature,cohort,auc_clinic7,auc_clinic7_fpca3,auc_clinic7_fpca3_total,auc_clinic7_uplow_ratio,auc_clinic7_uplow_ratio_total,delta_auc_clinic7_fpca3_minus_clinic7,delong_z_clinic7_fpca3_minus_clinic7,delong_p_clinic7_fpca3_minus_clinic7,delta_auc_clinic7_uplow_ratio_minus_clinic7,delong_z_clinic7_uplow_ratio_minus_clinic7,delong_p_clinic7_uplow_ratio_minus_clinic7,delta_auc_clinic7_fpca3_total_minus_clinic7,delong_z_clinic7_fpca3_total_minus_clinic7,delong_p_clinic7_fpca3_total_minus_clinic7,delta_auc_clinic7_uplow_ratio_total_minus_clinic7,delong_z_clinic7_uplow_ratio_total_minus_clinic7,delong_p_clinic7_uplow_ratio_total_minus_clinic7,delta_auc_clinic7_fpca3_total_minus_clinic7_fpca3,delong_z_clinic7_fpca3_total_minus_clinic7_fpca3,delong_p_clinic7_fpca3_total_minus_clinic7_fpca3,delta_auc_clinic7_uplow_ratio_total_minus_clinic7_uplow_ratio,delong_z_clinic7_uplow_ratio_total_minus_clinic7_uplow_ratio,delong_p_clinic7_uplow_ratio_total_minus_clinic7_uplow_ratio
HTN,internal,0.8179,0.8218,0.8215,0.8196,0.8196,0.0039,1.1329,0.2573,0.0018,0.7043,0.4812,0.0036,1.1107,0.2667,0.0018,0.8181,0.4133,-0.0003,-0.2888,0.7727,0.0,0.0226,0.982
HTN,external,0.7354,0.7397,0.7406,0.7393,0.7407,0.0043,0.994,0.3202,0.0039,1.0628,0.2879,0.0053,1.2594,0.2079,0.0053,1.6331,0.1025,0.001,0.7959,0.4261,0.0014,1.5194,0.1287
DM,internal,0.7263,0.7411,0.741,0.7386,0.7397,0.0148,2.1096,0.0349,0.0122,1.9738,0.0484,0.0146,2.0423,0.0411,0.0133,2.0947,0.0362,-0.0002,-0.0731,0.9417,0.0011,0.5222,0.6015
DM,external,0.6809,0.6961,0.6985,0.6912,0.689,0.0152,2.0696,0.0385,0.0103,1.3271,0.1845,0.0176,2.4257,0.0153,0.0081,1.0257,0.305,0.0023,1.3017,0.193,-0.0022,-1.2702,0.204
CKD,internal,0.7838,0.7862,0.7826,0.7886,0.7845,0.0023,0.266,0.7902,0.0048,0.6031,0.5464,-0.0012,-0.1482,0.8822,0.0007,0.0963,0.9233,-0.0036,-0.802,0.4226,-0.0041,-1.3411,0.1799
CKD,external,0.6247,0.633,0.6369,0.6461,0.6445,0.0084,1.1692,0.2423,0.0214,2.598,0.0094,0.0122,1.7916,0.0732,0.0199,2.6372,0.0084,0.0038,1.12,0.2627,-0.0016,-0.6306,0.5283
