cohort,scanner,n,r2_clinic4,r2_aec,auc_clinic4,auc_aec,r2_delta,auc_delta
internal,Ingenuity Core 128,202,0.55,0.5995,0.8316,0.8744,0.0496,0.0428
internal,Revolution CT,317,0.5465,0.6042,0.8462,0.8806,0.0578,0.0345
internal,SOMATOM Definition AS+,182,0.3678,0.4515,0.7753,0.8176,0.0837,0.0423
internal,Sensation 64,380,0.5029,0.6106,0.7893,0.8511,0.1077,0.0618
external,LightSpeed VCT,50,0.4875,0.595,0.7983,0.86,0.1074,0.0617
external,Revolution EVO,149,0.2253,0.3966,0.7421,0.7897,0.1714,0.0475
external,SOMATOM Definition AS+,166,0.5721,0.5836,0.8273,0.8569,0.0114,0.0295
external,SOMATOM Definition Flash,228,0.5696,0.5453,0.8291,0.8516,-0.0242,0.0225
external,SOMATOM Force,123,0.5521,0.5996,0.834,0.8702,0.0475,0.0362
external,Sensation 64,48,0.3559,0.3952,0.7879,0.8332,0.0393,0.0453
external,iCT 256,135,0.5022,0.5463,0.7675,0.8163,0.044,0.0487
