feature,clinic4,top1,top2,top3,top4,top5,top6,top7,top8,delta_r2_vs_clinic4_top1,delta_r2_vs_clinic4_top2,delta_r2_vs_clinic4_top3,delta_r2_vs_clinic4_top4,delta_r2_vs_clinic4_top5,delta_r2_vs_clinic4_top6,delta_r2_vs_clinic4_top7,delta_r2_vs_clinic4_top8,delta_r2_vs_top8_top1,delta_r2_vs_top8_top2,delta_r2_vs_top8_top3,delta_r2_vs_top8_top4,delta_r2_vs_top8_top5,delta_r2_vs_top8_top6,delta_r2_vs_top8_top7
IMATA_SUM,0.3329,0.3758,0.3749,0.3792,0.3805,0.3817,0.3878,0.3848,0.3897,0.0429,0.042,0.0463,0.0476,0.0488,0.0549,0.0519,0.0568,-0.0139,-0.0148,-0.0105,-0.0092,-0.008,-0.0019,-0.0049
LAMA_SUM,0.4193,0.4378,0.4398,0.4418,0.4475,0.4506,0.4655,0.4662,0.4665,0.0185,0.0204,0.0225,0.0281,0.0312,0.0461,0.0468,0.0471,-0.0286,-0.0267,-0.0246,-0.019,-0.0159,-0.001,-0.0003
NAMA_SUM,0.5912,0.6079,0.6153,0.623,0.6193,0.6157,0.6146,0.6122,0.6116,0.0167,0.0241,0.0318,0.0281,0.0245,0.0233,0.021,0.0204,-0.0037,0.0037,0.0114,0.0077,0.0041,0.003,0.0006
SAT(피하지방)_SUM,0.5276,0.5514,0.5517,0.5646,0.5674,0.566,0.5685,0.5711,0.5705,0.0238,0.0241,0.037,0.0398,0.0384,0.0409,0.0435,0.0428,-0.019,-0.0187,-0.0058,-0.0031,-0.0045,-0.0019,0.0007
TAMA_SUM,0.646,0.6467,0.6463,0.6483,0.647,0.6465,0.6509,0.6502,0.6487,0.0007,0.0003,0.0023,0.0011,0.0005,0.0049,0.0042,0.0027,-0.0019,-0.0024,-0.0004,-0.0016,-0.0022,0.0022,0.0016
Total Fat_SUM,0.502,0.5415,0.542,0.5467,0.5518,0.5539,0.5623,0.5699,0.5739,0.0395,0.0399,0.0447,0.0498,0.0519,0.0602,0.0679,0.0719,-0.0324,-0.032,-0.0273,-0.0222,-0.02,-0.0117,-0.0041
VAT(내장지방)_SUM,0.523,0.5572,0.5688,0.5725,0.5718,0.5935,0.6031,0.6154,0.6187,0.0343,0.0458,0.0495,0.0488,0.0705,0.0801,0.0925,0.0957,-0.0615,-0.0499,-0.0462,-0.0469,-0.0252,-0.0156,-0.0033
