model,sens_internal,spec_internal,acc_internal,ppv_internal,npv_internal,auc_internal,sens_external,spec_external,acc_external,ppv_external,npv_external,auc_external
Clinical only (stage-1),0.9069767441860465,0.5359001040582726,0.5798165137614679,0.20781527531083482,0.9772296015180265,0.8285014802087619,0.9290780141843972,0.49044585987261147,0.5572354211663066,0.24670433145009416,0.9746835443037974,0.8344852509373447
AEC only - patient-normalized,0.9069767441860465,0.1425598335067638,0.23302752293577983,0.12433581296493093,0.9194630872483222,0.6360703078995554,0.9219858156028369,0.0929936305732484,0.21922246220302377,0.1543942992874109,0.8690476190476191,0.5681619008899129
AEC only - BMI-residualized,0.9069767441860465,0.07388137356919876,0.1724770642201835,0.11618669314796425,0.8554216867469879,0.5213884116190338,0.9432624113475178,0.035668789808917196,0.17386609071274298,0.149438202247191,0.7777777777777778,0.492731625784885
Clinical + AEC - patient-normalized,0.8914728682170543,0.5691987513007284,0.6073394495412844,0.21739130434782608,0.9750445632798574,,0.9148936170212766,0.5171974522292994,0.5777537796976242,0.25393700787401574,0.9712918660287081,
Clinical + AEC - BMI-residualized,0.8992248062015504,0.578563995837669,0.6165137614678899,0.22264875239923224,0.9771528998242531,,0.9219858156028369,0.5082802547770701,0.5712742980561555,0.25193798449612403,0.973170731707317,
