feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,secnn,internal,1259,385,0.7979315878629379,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,secnn,external,1123,507,0.7287328056558826,0.6997591892996008,0.7604554359858651
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,secnn,internal,1259,232,0.7214644260148407,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,secnn,external,1123,335,0.6761383438139253,0.6427542444369291,0.7105816488087643
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,secnn,internal,1259,105,0.745044152843113,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,secnn,external,1123,188,0.6149903288201161,0.5679518938438537,0.6613549952050545
