se_reduction,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
2,32,HTN,0.7979315878629379,0.002627121162590229
2,16,HTN,0.7878451068382417,-0.0074593598621059964
4,32,HTN,0.7789562839906088,-0.016348182709738923
4,32,DM,0.7132844240002686,-0.005277759124332593
4,16,DM,0.7214644260148407,0.002902242890239548
8,32,DM,0.7004499210959272,-0.018112262028673998
4,32,CKD,0.7325410580176612,-0.033539655030122795
2,32,CKD,0.745044152843113,-0.02103656020467104
2,16,CKD,0.732384253528101,-0.03369645951968303
