feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
sat,internal,clinic4,age,,,-0.08495586064597613,0.093858020972231,390
sat,internal,clinic4,height,,,0.16296806609888378,0.0012394279738578372,390
sat,internal,clinic4,weight,,,0.5947454875884791,1.1278064990003322e-38,390
vat,internal,clinic4,age,,,0.20039055361037394,6.742645140649372e-05,390
vat,internal,clinic4,height,,,0.05535461864315883,0.27549581798944334,390
vat,internal,clinic4,weight,,,0.5011265377692945,3.4604440714713473e-26,390
total_fat,internal,clinic4,age,,,0.046160373874254486,0.3632693940641497,390
total_fat,internal,clinic4,height,,,0.12445166654233256,0.013916833729534363,390
total_fat,internal,clinic4,weight,,,0.5990584901640749,2.3725199077433967e-39,390
vat_sat,internal,clinic4,age,,,0.29826964776999976,1.8694634569786392e-09,390
vat_sat,internal,clinic4,height,,,-0.0907319169367834,0.07349355882892054,390
vat_sat,internal,clinic4,weight,,,0.09021541854136095,0.07515401695874746,390
vat_total_fat,internal,clinic4,age,,,0.3180225288532099,1.2936334990864022e-10,390
vat_total_fat,internal,clinic4,height,,,-0.09956423453762978,0.04943632003264544,390
vat_total_fat,internal,clinic4,weight,,,0.11625191516889324,0.021663721902590364,390
vat_tama,internal,clinic4,age,,,0.23916021261939568,1.7759398911173018e-06,390
vat_tama,internal,clinic4,height,,,-0.07358276872365391,0.14693426595170653,390
vat_tama,internal,clinic4,weight,,,0.2748839926427144,3.433696554604058e-08,390
sat_total_fat,internal,clinic4,age,,,-0.31802252885321003,1.2936334990863618e-10,390
sat_total_fat,internal,clinic4,height,,,0.09956423453762978,0.04943632003264544,390
sat_total_fat,internal,clinic4,weight,,,-0.1162519151688932,0.021663721902590364,390
sat_tama,internal,clinic4,age,,,-0.11042175060405557,0.029233258867715984,390
sat_tama,internal,clinic4,height,,,-0.024352131352456185,0.631623158683862,390
sat_tama,internal,clinic4,weight,,,0.14909622341125126,0.003162579998746239,390
total_fat_tama,internal,clinic4,age,,,0.00043678104712890214,0.993139835171598,390
total_fat_tama,internal,clinic4,height,,,-0.04406591532728403,0.38547075702720307,390
total_fat_tama,internal,clinic4,weight,,,0.20839687871255028,3.354984025198508e-05,390
sat,external,clinic4,age,,,-0.10031499663755386,0.03803300200094426,428
sat,external,clinic4,height,,,0.2151043832140761,7.1302101523137015e-06,428
sat,external,clinic4,weight,,,0.6553781774063235,7.051330660944679e-54,428
vat,external,clinic4,age,,,0.20048342573049927,2.9408730138270015e-05,428
vat,external,clinic4,height,,,0.046878551376719674,0.33328077477288115,428
vat,external,clinic4,weight,,,0.5210058927108878,3.72960522976826e-31,428
total_fat,external,clinic4,age,,,0.040853258989428785,0.39919540384142715,428
total_fat,external,clinic4,height,,,0.14808439126309214,0.0021292500267547205,428
total_fat,external,clinic4,weight,,,0.6381282395286446,2.56365338730035e-50,428
vat_sat,external,clinic4,age,,,0.35641889622468337,2.8886239874515384e-14,428
vat_sat,external,clinic4,height,,,-0.18140198880494796,0.00016113534213881055,428
vat_sat,external,clinic4,weight,,,0.01604196468245104,0.7406977648400692,428
vat_total_fat,external,clinic4,age,,,0.37740153433268125,6.172785376815173e-16,428
vat_total_fat,external,clinic4,height,,,-0.17471477442809044,0.00028131004869842133,428
vat_total_fat,external,clinic4,weight,,,0.041310978388564595,0.3939295768999362,428
vat_tama,external,clinic4,age,,,0.32378099767825935,6.666621615706388e-12,428
vat_tama,external,clinic4,height,,,-0.08937362876691929,0.06470847156992168,428
vat_tama,external,clinic4,weight,,,0.32820755926030765,3.307677604398464e-12,428
sat_total_fat,external,clinic4,age,,,-0.37740153433268125,6.172785376815173e-16,428
sat_total_fat,external,clinic4,height,,,0.1747147744280904,0.00028131004869842133,428
sat_total_fat,external,clinic4,weight,,,-0.04131097838856461,0.3939295768999362,428
sat_tama,external,clinic4,age,,,0.04158181883263225,0.3908335237451428,428
sat_tama,external,clinic4,height,,,0.06151443417847386,0.20404836067889617,428
sat_tama,external,clinic4,weight,,,0.44174867979923826,7.17680684468725e-22,428
total_fat_tama,external,clinic4,age,,,0.19017859868967207,7.522336696477983e-05,428
total_fat_tama,external,clinic4,height,,,-0.010644473641479003,0.8262007707077039,428
total_fat_tama,external,clinic4,weight,,,0.4218916087511705,6.695002545972384e-20,428
sat,internal,aec_segment,seg1_1,1.0,1.0,0.46299095558646375,4.083105633104871e-22,390
vat,internal,aec_segment,seg1_1,1.0,1.0,0.38796530312722144,1.8551579050636677e-15,390
total_fat,internal,aec_segment,seg1_1,1.0,1.0,0.46530896847519043,2.386662811476126e-22,390
vat_sat,internal,aec_segment,seg1_1,1.0,1.0,0.07536515913974005,0.13736408803398015,390
vat_total_fat,internal,aec_segment,seg1_1,1.0,1.0,0.09172219628441483,0.07039358243643483,390
vat_tama,internal,aec_segment,seg1_1,1.0,1.0,0.31033461659391126,3.7456849064744856e-10,390
sat_total_fat,internal,aec_segment,seg1_1,1.0,1.0,-0.09172219628441486,0.07039358243643483,390
sat_tama,internal,aec_segment,seg1_1,1.0,1.0,0.19460212843903288,0.00010982734248665797,390
total_fat_tama,internal,aec_segment,seg1_1,1.0,1.0,0.25506548596863965,3.2963483352083826e-07,390
sat,external,aec_segment,seg1_1,1.0,1.0,0.4658809685527707,1.9100664275464986e-24,428
vat,external,aec_segment,seg1_1,1.0,1.0,0.4212548588920916,7.705267567690395e-20,428
total_fat,external,aec_segment,seg1_1,1.0,1.0,0.4787771639072027,6.588302550205953e-26,428
vat_sat,external,aec_segment,seg1_1,1.0,1.0,0.09409818360520805,0.051733654933675585,428
vat_total_fat,external,aec_segment,seg1_1,1.0,1.0,0.11117289157376935,0.021427185591184745,428
vat_tama,external,aec_segment,seg1_1,1.0,1.0,0.32211342817763305,8.65550626810917e-12,428
sat_total_fat,external,aec_segment,seg1_1,1.0,1.0,-0.11117289157376935,0.021427185591184745,428
sat_tama,external,aec_segment,seg1_1,1.0,1.0,0.36669476980967003,4.5498114905527424e-15,428
total_fat_tama,external,aec_segment,seg1_1,1.0,1.0,0.3757280744540628,8.476219603193823e-16,428
sat,internal,aec_segment,seg2_1,2.0,1.0,0.4061117907667314,6.422365419948515e-17,390
sat,internal,aec_segment,seg2_2,2.0,2.0,0.48874025371144886,8.280000366935694e-25,390
vat,internal,aec_segment,seg2_1,2.0,1.0,0.2638066179152434,1.243478725488455e-07,390
vat,internal,aec_segment,seg2_2,2.0,2.0,0.4818560711192003,4.57581021067763e-24,390
total_fat,internal,aec_segment,seg2_1,2.0,1.0,0.37109338339075804,3.529941401917626e-14,390
total_fat,internal,aec_segment,seg2_2,2.0,2.0,0.5262130037099979,3.6956361237033295e-29,390
vat_sat,internal,aec_segment,seg2_1,2.0,1.0,-0.0453451976477558,0.37181382940498836,390
vat_sat,internal,aec_segment,seg2_2,2.0,2.0,0.18491452445432327,0.00024088513547262195,390
vat_total_fat,internal,aec_segment,seg2_1,2.0,1.0,-0.02975827893149056,0.5579277117128715,390
vat_total_fat,internal,aec_segment,seg2_2,2.0,2.0,0.20100965446483535,6.39452393733928e-05,390
vat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.2069392470527342,3.817303493579938e-05,390
vat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.38929548530115105,1.4599412321943026e-15,390
sat_total_fat,internal,aec_segment,seg2_1,2.0,1.0,0.029758278931490554,0.5579277117128715,390
sat_total_fat,internal,aec_segment,seg2_2,2.0,2.0,-0.20100965446483532,6.394523937339316e-05,390
sat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.18010077514254097,0.0003508166471793629,390
sat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.19653339693393318,9.347454283052212e-05,390
total_fat_tama,internal,aec_segment,seg2_1,2.0,1.0,0.20799714735045677,3.476199449417765e-05,390
total_fat_tama,internal,aec_segment,seg2_2,2.0,2.0,0.2841239055615819,1.1224206406641155e-08,390
sat,external,aec_segment,seg2_1,2.0,1.0,0.4196743887358582,1.0907552296145707e-19,428
sat,external,aec_segment,seg2_2,2.0,2.0,0.47370643231259135,2.5185320119371612e-25,428
vat,external,aec_segment,seg2_1,2.0,1.0,0.30667432740316863,9.001433422565352e-11,428
vat,external,aec_segment,seg2_2,2.0,2.0,0.49986838732154243,1.9471905430853578e-28,428
total_fat,external,aec_segment,seg2_1,2.0,1.0,0.3953039282513348,1.84757873521824e-17,428
total_fat,external,aec_segment,seg2_2,2.0,2.0,0.5221828140486657,2.598241933947121e-31,428
vat_sat,external,aec_segment,seg2_1,2.0,1.0,-0.0045418685482285885,0.9253565291287289,428
vat_sat,external,aec_segment,seg2_2,2.0,2.0,0.18343745461019073,0.00013545873561134905,428
vat_total_fat,external,aec_segment,seg2_1,2.0,1.0,0.008751539197084029,0.8567386877606417,428
vat_total_fat,external,aec_segment,seg2_2,2.0,2.0,0.20285057790352862,2.353877795100393e-05,428
vat_tama,external,aec_segment,seg2_1,2.0,1.0,0.20687335285712244,1.6027718092393573e-05,428
vat_tama,external,aec_segment,seg2_2,2.0,2.0,0.409372222087523,1.0052853592209014e-18,428
sat_total_fat,external,aec_segment,seg2_1,2.0,1.0,-0.008751539197084048,0.8567386877606417,428
sat_total_fat,external,aec_segment,seg2_2,2.0,2.0,-0.20285057790352862,2.353877795100393e-05,428
sat_tama,external,aec_segment,seg2_1,2.0,1.0,0.31766611075027307,1.7230140347475464e-11,428
sat_tama,external,aec_segment,seg2_2,2.0,2.0,0.38529414697307096,1.3494002269891495e-16,428
total_fat_tama,external,aec_segment,seg2_1,2.0,1.0,0.28841434202199545,1.2096005691499674e-09,428
total_fat_tama,external,aec_segment,seg2_2,2.0,2.0,0.43121999278870116,8.25181907521801e-21,428
sat,internal,aec_segment,seg4_1,4.0,1.0,0.3586377144500117,2.789455815405861e-13,390
sat,internal,aec_segment,seg4_2,4.0,2.0,0.44524271968086576,2.181482542365232e-20,390
sat,internal,aec_segment,seg4_3,4.0,3.0,0.5139798735831771,1.1155134126630616e-27,390
sat,internal,aec_segment,seg4_4,4.0,4.0,0.44186696408914,4.5298551152216315e-20,390
vat,internal,aec_segment,seg4_1,4.0,1.0,0.19805447455481434,8.223790944772898e-05,390
vat,internal,aec_segment,seg4_2,4.0,2.0,0.32645526871927066,3.890401809029511e-11,390
vat,internal,aec_segment,seg4_3,4.0,3.0,0.5220454846559511,1.1983047319704653e-28,390
vat,internal,aec_segment,seg4_4,4.0,4.0,0.4180661311708266,6.244449851906141e-18,390
total_fat,internal,aec_segment,seg4_1,4.0,1.0,0.31080236671528466,3.5141205426833924e-10,390
total_fat,internal,aec_segment,seg4_2,4.0,2.0,0.4248825097157011,1.5847891163108856e-18,390
total_fat,internal,aec_segment,seg4_3,4.0,3.0,0.560801034607211,1.1009271219055814e-33,390
total_fat,internal,aec_segment,seg4_4,4.0,4.0,0.4672323481240803,1.5238386436502574e-22,390
vat_sat,internal,aec_segment,seg4_1,4.0,1.0,-0.08257952124956949,0.1034480606315674,390
vat_sat,internal,aec_segment,seg4_2,4.0,2.0,-0.004357539156620238,0.9316423492795507,390
vat_sat,internal,aec_segment,seg4_3,4.0,3.0,0.20845375592744708,3.338065012297138e-05,390
vat_sat,internal,aec_segment,seg4_4,4.0,4.0,0.1511138692899663,0.002772654172393802,390
vat_total_fat,internal,aec_segment,seg4_1,4.0,1.0,-0.06847283087447759,0.17718481245641884,390
vat_total_fat,internal,aec_segment,seg4_2,4.0,2.0,0.01236671139596874,0.8076580775816367,390
vat_total_fat,internal,aec_segment,seg4_3,4.0,3.0,0.22484164583544058,7.34112450513585e-06,390
vat_total_fat,internal,aec_segment,seg4_4,4.0,4.0,0.16628371448198967,0.000979754454588144,390
vat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.157001662368972,0.0018715689886006552,390
vat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.2543334973697081,3.5710194171066545e-07,390
vat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.43029724748207815,5.21413055510774e-19,390
vat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.32796030351072014,3.127169453305821e-11,390
sat_total_fat,internal,aec_segment,seg4_1,4.0,1.0,0.06847283087447756,0.17718481245641884,390
sat_total_fat,internal,aec_segment,seg4_2,4.0,2.0,-0.012366711395968778,0.8076580775816367,390
sat_total_fat,internal,aec_segment,seg4_3,4.0,3.0,-0.22484164583544058,7.34112450513585e-06,390
sat_total_fat,internal,aec_segment,seg4_4,4.0,4.0,-0.16628371448198967,0.000979754454588144,390
sat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.17342040681726212,0.0005819612654142893,390
sat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.18212764382060756,0.00029980167717222713,390
sat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.20298012619983835,5.395949537321635e-05,390
sat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.18193682916870327,0.0003042915523471454,390
total_fat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.18550784968926073,0.00022982716517677451,390
total_fat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.22609226416435615,6.50869699418925e-06,390
total_fat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.3033133680076976,9.632253097803746e-10,390
total_fat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.25168758576931527,4.7593175671387594e-07,390
sat,external,aec_segment,seg4_1,4.0,1.0,0.38510319838615925,1.4006468508266525e-16,428
sat,external,aec_segment,seg4_2,4.0,2.0,0.4445480539011354,3.695322417979246e-22,428
sat,external,aec_segment,seg4_3,4.0,3.0,0.5073037787307824,2.264518480126211e-29,428
sat,external,aec_segment,seg4_4,4.0,4.0,0.4221413410880763,6.33543874989726e-20,428
vat,external,aec_segment,seg4_1,4.0,1.0,0.23258217215997362,1.1475036911067327e-06,428
vat,external,aec_segment,seg4_2,4.0,2.0,0.37952105200124037,4.1200867892087206e-16,428
vat,external,aec_segment,seg4_3,4.0,3.0,0.5410147434433039,6.566447570316578e-34,428
vat,external,aec_segment,seg4_4,4.0,4.0,0.43961361128061416,1.185801159560792e-21,428
total_fat,external,aec_segment,seg4_1,4.0,1.0,0.33860216157014844,6.097100541164983e-13,428
total_fat,external,aec_segment,seg4_2,4.0,2.0,0.44575870161591075,2.7679039090398875e-22,428
total_fat,external,aec_segment,seg4_3,4.0,3.0,0.5620328096949385,5.225241558196067e-37,428
total_fat,external,aec_segment,seg4_4,4.0,4.0,0.4624530242820267,4.564648861803504e-24,428
vat_sat,external,aec_segment,seg4_1,4.0,1.0,-0.060588720005124816,0.21095164749998957,428
vat_sat,external,aec_segment,seg4_2,4.0,2.0,0.05835900072325367,0.2282663848939743,428
vat_sat,external,aec_segment,seg4_3,4.0,3.0,0.2038587743124722,2.1392374977640716e-05,428
vat_sat,external,aec_segment,seg4_4,4.0,4.0,0.155865225638473,0.0012167388933417927,428
vat_total_fat,external,aec_segment,seg4_1,4.0,1.0,-0.04862818795494011,0.31553310710398996,428
vat_total_fat,external,aec_segment,seg4_2,4.0,2.0,0.07270655731673864,0.1331606134761819,428
vat_total_fat,external,aec_segment,seg4_3,4.0,3.0,0.22329337605507898,3.085423133849604e-06,428
