embed_dim,head_hidden,auc_HTN,auc_DM,auc_CKD,mean_delta
8,16,0.7837914945466432,0.7201927273948225,0.7468597837748617,-0.009701119052135146
8,32,0.7646646259918571,0.7087978041164423,0.714170174135512,-0.03077158620964049
16,16,0.7747719100121846,0.7146106839472183,0.7339605512915738,-0.018868072540585423
16,32,0.7636066450711759,0.7055010408622369,0.7095320623916811,-0.03376920484921301
