feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,multitask,internal,1259,385,0.7888466224850663,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,multitask,external,1123,507,0.7280123722431415,0.6983604256201121,0.7592886043765897
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,multitask,internal,1259,232,0.7252627337743008,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,multitask,external,1123,335,0.6744601863777558,0.6415634389154005,0.7084403137567101
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,multitask,internal,1259,105,0.7468597837748617,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,multitask,external,1123,188,0.6269143247240869,0.5819279702137351,0.6710848715037647
