attn_hidden,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
8,16,HTN,0.7949389283485393,-0.0003655383518084143
8,32,HTN,0.7853636066450711,-0.009940860055276612
8,64,HTN,0.7777942880917709,-0.017510178608576843
16,16,HTN,0.787090255282475,-0.008214211417872708
16,32,HTN,0.761651163481827,-0.03365330321852067
16,64,HTN,0.8000326904217064,0.004728223721358726
32,16,HTN,0.7924901185770752,-0.0028143481232725254
32,32,HTN,0.7992377188029363,0.003933252102588547
32,64,HTN,0.7487978840381586,-0.0465065826621891
8,16,DM,0.715244434744653,-0.0033177483799481378
8,32,DM,0.7038453144411241,-0.014716868683477102
8,64,DM,0.6917159117617433,-0.026846271362857888
16,16,DM,0.6750537219219017,-0.04350846120269947
16,32,DM,0.7315246952959743,0.01296251217137312
16,64,DM,0.7038453144411241,-0.014716868683477102
32,16,DM,0.7232754423664507,0.00471325924184951
32,32,DM,0.6893068193264615,-0.029255363798139644
32,64,DM,0.6953673236410033,-0.023194859483597896
8,16,CKD,0.7234711562267887,-0.04260955682099532
8,32,CKD,0.753544606750846,-0.012536106296938021
8,64,CKD,0.7467524964925311,-0.019328216555252964
16,16,CKD,0.7248658908970866,-0.04121482215069738
16,32,CKD,0.7515969299331517,-0.014483783114632276
16,64,CKD,0.7472889329041843,-0.018791780143599723
32,16,CKD,0.7627713130312783,-0.0033094000165057036
32,32,CKD,0.7455970949905091,-0.020483618057274944
32,64,CKD,0.738953536353883,-0.02712717669390108
