feature,model,cohort,scanner,n,n_pos,auc
VAT_TotalFat_ratio,clinic4,internal,Revolution CT,248,36,0.8480083857442346
VAT_TotalFat_ratio,clinic4,internal,Sensation 64,258,34,0.7446165966386554
VAT_TotalFat_ratio,clinic4,internal,Ingenuity Core 128,91,16,0.8375
VAT_TotalFat_ratio,clinic4,external,iCT 256,83,14,0.7836438923395446
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition AS+,81,9,0.5462962962962963
VAT_TotalFat_ratio,clinic4,external,SOMATOM Force,65,21,0.7435064935064936
VAT_TotalFat_ratio,clinic4,external,Revolution EVO,88,30,0.7936781609195402
VAT_TotalFat_ratio,clinic4,external,LightSpeed VCT,37,11,0.8321678321678322
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition Flash,113,25,0.7054545454545454
VAT_TotalFat_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,28,0.8674948240165632
VAT_TotalFat_ratio,clinic4_aec_best,internal,Revolution CT,248,36,0.8701519916142557
VAT_TotalFat_ratio,clinic4_aec_best,internal,Sensation 64,258,34,0.8149947478991596
VAT_TotalFat_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,16,0.8483333333333334
VAT_TotalFat_ratio,clinic4_aec_best,external,iCT 256,83,14,0.8198757763975155
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,9,0.7623456790123456
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Force,65,21,0.8192640692640693
VAT_TotalFat_ratio,clinic4_aec_best,external,Revolution EVO,88,30,0.835632183908046
VAT_TotalFat_ratio,clinic4_aec_best,external,LightSpeed VCT,37,11,0.8776223776223776
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,25,0.7854545454545455
VAT_SAT_ratio,clinic4,internal,SOMATOM Definition AS+,97,27,0.7894179894179894
VAT_SAT_ratio,clinic4,internal,Revolution CT,248,34,0.8556899395272128
VAT_SAT_ratio,clinic4,internal,Sensation 64,258,29,0.7652461978617678
VAT_SAT_ratio,clinic4,internal,Ingenuity Core 128,91,11,0.8852272727272728
VAT_SAT_ratio,clinic4,external,iCT 256,83,13,0.7582417582417583
VAT_SAT_ratio,clinic4,external,SOMATOM Definition AS+,81,8,0.5787671232876712
VAT_SAT_ratio,clinic4,external,SOMATOM Force,65,15,0.7973333333333333
VAT_SAT_ratio,clinic4,external,Revolution EVO,88,30,0.7959770114942528
VAT_SAT_ratio,clinic4,external,LightSpeed VCT,37,11,0.8391608391608392
VAT_SAT_ratio,clinic4,external,SOMATOM Definition Flash,113,23,0.706280193236715
VAT_SAT_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,27,0.8603174603174604
VAT_SAT_ratio,clinic4_aec_best,internal,Revolution CT,248,34,0.8875755909840572
VAT_SAT_ratio,clinic4_aec_best,internal,Sensation 64,258,29,0.8271344677006474
VAT_SAT_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,11,0.8784090909090909
VAT_SAT_ratio,clinic4_aec_best,external,iCT 256,83,13,0.7967032967032966
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,8,0.7825342465753424
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Force,65,15,0.8533333333333333
VAT_SAT_ratio,clinic4_aec_best,external,Revolution EVO,88,30,0.8327586206896551
VAT_SAT_ratio,clinic4_aec_best,external,LightSpeed VCT,37,11,0.8671328671328671
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,23,0.7681159420289856
VAT_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,97,30,0.7900497512437811
VAT_TAMA_ratio,clinic4,internal,Revolution CT,248,43,0.8874645490640952
VAT_TAMA_ratio,clinic4,internal,Sensation 64,258,34,0.8952205882352942
VAT_TAMA_ratio,clinic4,internal,Ingenuity Core 128,91,13,0.8668639053254438
VAT_TAMA_ratio,clinic4,external,iCT 256,83,23,0.8043478260869565
VAT_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,81,13,0.8484162895927602
VAT_TAMA_ratio,clinic4,external,SOMATOM Force,65,20,0.8300000000000001
VAT_TAMA_ratio,clinic4,external,Revolution EVO,88,26,0.7971464019851117
VAT_TAMA_ratio,clinic4,external,LightSpeed VCT,37,9,0.7857142857142857
VAT_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,113,29,0.834975369458128
VAT_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,30,0.8278606965174129
VAT_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,248,43,0.9188882586500283
VAT_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,258,34,0.9283088235294118
VAT_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,13,0.8836291913214991
VAT_TAMA_ratio,clinic4_aec_best,external,iCT 256,83,23,0.8289855072463768
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,13,0.826923076923077
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,65,20,0.8877777777777778
VAT_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,88,26,0.8784119106699753
VAT_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,37,9,0.8690476190476191
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,29,0.8858784893267652
TotalFat_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,97,15,0.7154471544715447
TotalFat_TAMA_ratio,clinic4,internal,Revolution CT,248,48,0.8373958333333333
TotalFat_TAMA_ratio,clinic4,internal,Sensation 64,258,38,0.7882775119617225
TotalFat_TAMA_ratio,clinic4,internal,Ingenuity Core 128,91,7,0.7738095238095237
TotalFat_TAMA_ratio,clinic4,external,iCT 256,83,26,0.6929824561403509
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,81,17,0.8419117647058822
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Force,65,15,0.8466666666666667
TotalFat_TAMA_ratio,clinic4,external,Revolution EVO,88,24,0.7395833333333333
TotalFat_TAMA_ratio,clinic4,external,LightSpeed VCT,37,5,0.64375
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,113,30,0.8269076305220884
TotalFat_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,15,0.7609756097560976
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,248,48,0.849375
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,258,38,0.8385167464114832
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,7,0.7976190476190477
TotalFat_TAMA_ratio,clinic4_aec_best,external,iCT 256,83,26,0.791497975708502
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,17,0.8501838235294118
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,65,15,0.8973333333333333
TotalFat_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,88,24,0.8209635416666667
TotalFat_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,37,5,0.7875
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,30,0.8622489959839358
SAT_TotalFat_ratio,clinic4,internal,SOMATOM Definition AS+,97,11,0.941860465116279
SAT_TotalFat_ratio,clinic4,internal,Revolution CT,248,52,0.8249607535321821
SAT_TotalFat_ratio,clinic4,internal,Sensation 64,258,32,0.7605088495575222
SAT_TotalFat_ratio,clinic4,internal,Ingenuity Core 128,91,10,0.6679012345679012
SAT_TotalFat_ratio,clinic4,external,iCT 256,83,13,0.7252747252747253
SAT_TotalFat_ratio,clinic4,external,SOMATOM Definition AS+,81,7,0.8416988416988418
SAT_TotalFat_ratio,clinic4,external,SOMATOM Force,65,5,0.8833333333333334
SAT_TotalFat_ratio,clinic4,external,Revolution EVO,88,4,0.7321428571428572
SAT_TotalFat_ratio,clinic4,external,LightSpeed VCT,37,7,0.9761904761904762
SAT_TotalFat_ratio,clinic4,external,SOMATOM Definition Flash,113,13,0.7630769230769231
SAT_TotalFat_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,11,0.9312896405919662
SAT_TotalFat_ratio,clinic4_aec_best,internal,Revolution CT,248,52,0.8390894819466249
SAT_TotalFat_ratio,clinic4_aec_best,internal,Sensation 64,258,32,0.8090431415929203
SAT_TotalFat_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,10,0.6333333333333333
SAT_TotalFat_ratio,clinic4_aec_best,external,iCT 256,83,13,0.7945054945054946
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,7,0.7972972972972974
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Force,65,5,0.8733333333333334
SAT_TotalFat_ratio,clinic4_aec_best,external,Revolution EVO,88,4,0.6488095238095237
SAT_TotalFat_ratio,clinic4_aec_best,external,LightSpeed VCT,37,7,0.9857142857142858
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,13,0.8015384615384615
SAT_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,97,13,0.7206959706959707
SAT_TAMA_ratio,clinic4,internal,Revolution CT,248,50,0.7697979797979797
SAT_TAMA_ratio,clinic4,internal,Sensation 64,258,34,0.7490808823529411
SAT_TAMA_ratio,clinic4,internal,Ingenuity Core 128,91,7,0.7414965986394557
SAT_TAMA_ratio,clinic4,external,iCT 256,83,22,0.6795827123695977
SAT_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,81,19,0.8089983022071308
SAT_TAMA_ratio,clinic4,external,SOMATOM Force,65,12,0.860062893081761
SAT_TAMA_ratio,clinic4,external,Revolution EVO,88,16,0.6545138888888888
SAT_TAMA_ratio,clinic4,external,LightSpeed VCT,37,3,0.5490196078431373
SAT_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,113,30,0.7650602409638555
SAT_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,97,13,0.7161172161172161
SAT_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,248,50,0.8181818181818181
SAT_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,258,34,0.7876838235294117
SAT_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,91,7,0.8384353741496599
SAT_TAMA_ratio,clinic4_aec_best,external,iCT 256,83,22,0.7540983606557378
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,81,19,0.870118845500849
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,65,12,0.9402515723270441
SAT_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,88,16,0.71875
SAT_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,37,3,0.696078431372549
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,113,30,0.7791164658634538
