disease,slice,logit_per_1sd_raw_aec
HTN,1,0.0021081941346193503
HTN,2,0.0018614055518950377
HTN,3,0.0016517018447265428
HTN,4,0.0015234514110608539
HTN,5,0.0014012605766833218
HTN,6,0.0012775467989558811
HTN,7,0.0011678093739144527
HTN,8,0.0011726848588376492
HTN,9,0.0013591801713717273
HTN,10,0.0016062198058692688
HTN,11,0.0018267110733797283
HTN,12,0.0022269944102808127
HTN,13,0.0027534458790952243
HTN,14,0.003332678679992763
HTN,15,0.003913812661739593
HTN,16,0.00448839402786381
HTN,17,0.005045773390106883
HTN,18,0.005641195708076269
HTN,19,0.006126987634683854
HTN,20,0.006655209954557744
HTN,21,0.007165028644201154
HTN,22,0.007592536638639563
HTN,23,0.007990475446031887
HTN,24,0.008349518015132265
HTN,25,0.008753987047459255
HTN,26,0.009206720202763531
HTN,27,0.009682868701233796
HTN,28,0.010110410164969382
HTN,29,0.010511491359799266
HTN,30,0.010910319930297577
HTN,31,0.011331957592469454
HTN,32,0.011798667924781263
HTN,33,0.012279524327531656
HTN,34,0.012739548402419268
HTN,35,0.013187123127270918
HTN,36,0.013641660307276409
HTN,37,0.014112461538936014
HTN,38,0.014545796522218052
HTN,39,0.014953679159426421
HTN,40,0.015389461837694438
HTN,41,0.015755201799983465
HTN,42,0.016119098546558536
HTN,43,0.016471419549859805
HTN,44,0.016781468388055915
HTN,45,0.01706047354735753
HTN,46,0.017300958242126106
HTN,47,0.01744885766656446
HTN,48,0.0175973622478559
HTN,49,0.017755642884838635
HTN,50,0.01787623837684464
HTN,51,0.017906964236783278
HTN,52,0.017836828964813253
HTN,53,0.017733448296497336
HTN,54,0.017575521994158655
HTN,55,0.01736309478960087
HTN,56,0.0170817290047506
HTN,57,0.01673500604506276
HTN,58,0.01633505648631496
HTN,59,0.015902269401050995
HTN,60,0.015359782159084094
HTN,61,0.014820314756436342
HTN,62,0.01429758919934719
HTN,63,0.013673154007313582
HTN,64,0.012997255927873553
HTN,65,0.012259950601343769
HTN,66,0.011493995091214189
HTN,67,0.010782899017719567
HTN,68,0.01004135809790013
HTN,69,0.009299111353251469
HTN,70,0.008530968034349037
HTN,71,0.007664445534053386
HTN,72,0.006872206250027272
HTN,73,0.006146919391581687
HTN,74,0.005470266456296028
HTN,75,0.0047328193419648515
HTN,76,0.003948460629905043
HTN,77,0.0032078263066628618
HTN,78,0.002520392229658964
HTN,79,0.0018415664211762872
HTN,80,0.0012159142121965713
HTN,81,0.000596608946089639
HTN,82,-1.7786179975100434e-05
HTN,83,-0.000560395057741866
HTN,84,-0.0011216541223650369
HTN,85,-0.0016267686338887301
HTN,86,-0.0021382154908692317
HTN,87,-0.002639941893618248
HTN,88,-0.0030961271140824134
HTN,89,-0.0035537887538185315
HTN,90,-0.004011269256919289
HTN,91,-0.004412441692906253
HTN,92,-0.00481614802400767
HTN,93,-0.0052165548607482235
HTN,94,-0.005588096261889418
HTN,95,-0.005948055135291239
HTN,96,-0.006308025364190722
HTN,97,-0.006642543484141442
HTN,98,-0.006997380365042948
HTN,99,-0.0073234932578346386
HTN,100,-0.007620354891132602
HTN,101,-0.007925371531720068
HTN,102,-0.008248848618570582
HTN,103,-0.008526849336833944
HTN,104,-0.008807069593601757
HTN,105,-0.009078189579060418
HTN,106,-0.009367421745088481
HTN,107,-0.009614317745868956
HTN,108,-0.009850905964703493
HTN,109,-0.010087069755494366
HTN,110,-0.010314644700792805
HTN,111,-0.01051434444796881
