disease,slice,logit_per_1sd_raw_aec
HTN,112,-0.010679402900270467
HTN,113,-0.0108327944882974
HTN,114,-0.010998677549111624
HTN,115,-0.0111555712530138
HTN,116,-0.011312815643280533
HTN,117,-0.011426318084351293
HTN,118,-0.01154043533763483
HTN,119,-0.011658474918693993
HTN,120,-0.01174707073354338
HTN,121,-0.011820878366348085
HTN,122,-0.011872220373725243
HTN,123,-0.011936241803783148
HTN,124,-0.012017234763545718
HTN,125,-0.012072420452448615
HTN,126,-0.01209202615790638
HTN,127,-0.012080934768273363
HTN,128,-0.012079174335576492
DM,1,0.0006489375068469594
DM,2,0.0001135463785988911
DM,3,-0.0003812237535493386
DM,4,-0.000739030606021129
DM,5,-0.0010809438785154178
DM,6,-0.0014023764508859756
DM,7,-0.0016985504620380303
DM,8,-0.0018100394018859293
DM,9,-0.0016297281041396548
DM,10,-0.0013468481789932268
DM,11,-0.001105311350216362
DM,12,-0.0005771061730525699
DM,13,0.00014008989510766627
DM,14,0.0009452279872578905
DM,15,0.0017673886228218643
DM,16,0.002575343772097151
DM,17,0.003364522668898366
DM,18,0.004228880198084479
DM,19,0.004937566923861244
DM,20,0.005710512967748546
DM,21,0.006465321018446439
DM,22,0.007095630592947053
DM,23,0.007676139574526872
DM,24,0.008215055808793462
DM,25,0.008825033129190137
DM,26,0.009515044184153568
DM,27,0.010238634512155112
DM,28,0.010888143171251216
DM,29,0.011498043390621186
DM,30,0.01211017858252264
DM,31,0.012758191450262184
DM,32,0.013469603052128718
DM,33,0.014207852317475289
DM,34,0.014919401953201773
DM,35,0.015613133612393516
DM,36,0.016320770354580773
DM,37,0.017052363423298515
DM,38,0.01773220207428958
DM,39,0.01837747778844458
DM,40,0.019064794897323826
DM,41,0.019648059841506964
DM,42,0.020230939504880092
DM,43,0.020797346037329738
DM,44,0.021305430082297395
DM,45,0.021766023471704376
DM,46,0.022167735213322767
DM,47,0.02243271627972197
DM,48,0.022702917416357892
DM,49,0.022998009937211208
DM,50,0.023235667239773553
DM,51,0.023336931982267835
DM,52,0.0232901419691001
DM,53,0.023201650701292913
DM,54,0.02302956292978227
DM,55,0.02278084901243391
DM,56,0.022426737683232875
DM,57,0.021975716972496343
DM,58,0.021446107901475026
DM,59,0.020866534806800115
DM,60,0.020123431530761623
DM,61,0.019384461355293953
DM,62,0.018663152668524727
DM,63,0.01778025941719258
DM,64,0.016811404380986213
DM,65,0.015749909388178465
DM,66,0.014642150884859269
DM,67,0.01360942708046288
DM,68,0.012521575912844925
DM,69,0.011424355673197918
DM,70,0.010273354707640958
DM,71,0.008964261603656896
DM,72,0.007761649500557367
DM,73,0.006651948012627722
DM,74,0.005601800458928478
DM,75,0.0044521906878912795
DM,76,0.0032230816148642997
DM,77,0.002059684767404539
DM,78,0.0009791432809993761
DM,79,-9.658399390544253e-05
DM,80,-0.0010990024915641342
DM,81,-0.0020970620711971504
DM,82,-0.0030886149046168263
DM,83,-0.003969027341383565
DM,84,-0.004875716281775111
DM,85,-0.005698309454433981
DM,86,-0.006529548432158745
DM,87,-0.00734306276736288
DM,88,-0.008079235455500435
DM,89,-0.008817857124144322
DM,90,-0.00955069336299355
DM,91,-0.010193657125768087
DM,92,-0.010842184774712427
DM,93,-0.011484306846795517
DM,94,-0.012077620243065886
DM,95,-0.01264437130404388
DM,96,-0.013206882109683897
DM,97,-0.013728767343835139
DM,98,-0.014280918548977811
DM,99,-0.014792257887768593
DM,100,-0.01525996858835395
DM,101,-0.01573595017066814
DM,102,-0.016238969883115278
DM,103,-0.016665769678519238
DM,104,-0.017096928782219436
DM,105,-0.017517447361488494
DM,106,-0.017967916021317247
DM,107,-0.018351264724541624
DM,108,-0.018715288644478877
DM,109,-0.019079654380729973
DM,110,-0.01943057532246789
DM,111,-0.019741387522637842
DM,112,-0.019998411942411698
DM,113,-0.0202391612904947
DM,114,-0.020500366280020745
DM,115,-0.020745059600692103
DM,116,-0.02099246308091662
DM,117,-0.021172098914779253
DM,118,-0.02135743418702699
DM,119,-0.021545231397793338
DM,120,-0.021689578188392847
DM,121,-0.02181318738888648
DM,122,-0.021904101837765942
DM,123,-0.02201694562459385
DM,124,-0.022156719331730346
DM,125,-0.022256467926583992
DM,126,-0.022300287322638484
DM,127,-0.022297031807462078
DM,128,-0.022313741784821508
CKD,1,0.013440874003464059
CKD,2,0.01460954362605757
CKD,3,0.015806247081270472
CKD,4,0.016801191861550335
CKD,5,0.01770054005390842
CKD,6,0.018359679107970095
CKD,7,0.01899067145156595
CKD,8,0.019389850269849348
CKD,9,0.019626584986066738
CKD,10,0.019762636773432096
CKD,11,0.01994570349576867
CKD,12,0.01997558756235086
CKD,13,0.019948709227503903
CKD,14,0.01989482398821005
CKD,15,0.019748243544281726
CKD,16,0.019670082735383156
CKD,17,0.01958084515471944
CKD,18,0.01938118711959717
CKD,19,0.019174017879624902
CKD,20,0.018941370890175675
CKD,21,0.018716570574922337
CKD,22,0.01852437967971559
CKD,23,0.01839995114236916
CKD,24,0.018121476987856544
CKD,25,0.017794724746385333
CKD,26,0.017414415054600483
CKD,27,0.017040305123695747
CKD,28,0.016683402180496666
CKD,29,0.016305089145684983
CKD,30,0.015894462189770246
CKD,31,0.01550292560523953
CKD,32,0.01509936937133804
CKD,33,0.014609503362177376
CKD,34,0.014125763840237726
CKD,35,0.013608040867754703
CKD,36,0.013066458978178985
CKD,37,0.012515539472685558
CKD,38,0.011942670905119527
CKD,39,0.011325456819824116
CKD,40,0.01068121828242861
CKD,41,0.010043883139063828
CKD,42,0.009381384197733643
CKD,43,0.00869233838528463
CKD,44,0.007980710261300953
CKD,45,0.007269706028896643
CKD,46,0.0065428956828564545
CKD,47,0.005822669792575448
CKD,48,0.005047625222365253
CKD,49,0.004234786349959495
CKD,50,0.003383031106232062
CKD,51,0.0025301727498296994
CKD,52,0.0016952585917037672
CKD,53,0.0008560062558945064
CKD,54,2.1693160596204406e-05
CKD,55,-0.0008188815043650872
CKD,56,-0.0016429542382010024
CKD,57,-0.0024417755552757344
CKD,58,-0.0032357323563792935
CKD,59,-0.004074759012982629
CKD,60,-0.0048631992931343244
CKD,61,-0.005607796125926595
CKD,62,-0.006314884512963361
CKD,63,-0.007000514664700952
CKD,64,-0.007684597403950657
CKD,65,-0.008274977385153898
CKD,66,-0.008820928489159554
CKD,67,-0.009293317845280428
CKD,68,-0.009651061298452751
CKD,69,-0.009946191222211992
CKD,70,-0.010204278522312503
CKD,71,-0.010348320932905407
CKD,72,-0.010448358340622712
CKD,73,-0.010516773429609858
CKD,74,-0.010515012309528813
CKD,75,-0.01043372015123334
CKD,76,-0.010269192906689801
CKD,77,-0.010022144132012236
CKD,78,-0.009770966927265468
CKD,79,-0.009524693740006347
CKD,80,-0.009322136344086561
CKD,81,-0.00913400899469094
CKD,82,-0.008855607221739727
CKD,83,-0.00856736442906457
CKD,84,-0.008316630356208693
CKD,85,-0.008135987125507253
CKD,86,-0.007970152984114414
CKD,87,-0.007842228628837928
CKD,88,-0.007655754101661097
CKD,89,-0.0074546194857207275
CKD,90,-0.0073336725039141685
CKD,91,-0.007237993103883473
CKD,92,-0.007133699162249058
CKD,93,-0.00708997700156384
CKD,94,-0.007072836742198659
CKD,95,-0.007016181943069339
CKD,96,-0.006903184206631769
CKD,97,-0.0068063657352334965
CKD,98,-0.006723540718471458
CKD,99,-0.0066821232166948364
CKD,100,-0.006668770895624432
CKD,101,-0.006608329374217247
CKD,102,-0.006552259303795719
CKD,103,-0.006467584152280551
CKD,104,-0.006411430775972359
CKD,105,-0.006345709619682105
CKD,106,-0.006279100590997646
CKD,107,-0.006223725649062808
CKD,108,-0.006179077515417113
CKD,109,-0.006088086673078473
CKD,110,-0.0059756039886772975
CKD,111,-0.0058685479785846074
CKD,112,-0.005758145064290947
CKD,113,-0.005654185544224968
CKD,114,-0.005560588248215177
CKD,115,-0.005466172724239094
CKD,116,-0.0053584725283025115
CKD,117,-0.00522413578380914
CKD,118,-0.0050975109943493515
CKD,119,-0.0049520248211247205
CKD,120,-0.00483205038909349
CKD,121,-0.004718606635669122
CKD,122,-0.0045859971493829995
CKD,123,-0.004409929747931136
CKD,124,-0.0042127184253166
CKD,125,-0.003983933596136702
CKD,126,-0.0037476106001284705
CKD,127,-0.00351939361073342
CKD,128,-0.003364161525845645
