exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
segsel,LAMA_SUM,top8,internal,0.419,"[0.373,0.468]",0.466,"[0.423,0.514]",0.047,up,True,False
segsel,LAMA_SUM,top8,external,-0.035,"[-0.130,0.045]",0.004,"[-0.083,0.082]",0.039,up,True,False
segsel,TAMA_SUM,top1,internal,0.646,"[0.605,0.683]",0.647,"[0.604,0.685]",0.001,up,True,False
segsel,TAMA_SUM,top1,external,0.711,"[0.673,0.743]",0.692,"[0.652,0.727]",-0.019,down,True,False
segsel,TAMA_SUM,top2,internal,0.646,"[0.605,0.683]",0.646,"[0.604,0.685]",0.0,up,True,False
segsel,TAMA_SUM,top2,external,0.711,"[0.673,0.743]",0.692,"[0.652,0.727]",-0.019,down,True,False
segsel,TAMA_SUM,top3,internal,0.646,"[0.605,0.683]",0.648,"[0.606,0.687]",0.002,up,True,False
segsel,TAMA_SUM,top3,external,0.711,"[0.673,0.743]",0.687,"[0.646,0.722]",-0.024,down,True,False
segsel,TAMA_SUM,top4,internal,0.646,"[0.605,0.683]",0.647,"[0.604,0.686]",0.001,up,True,False
segsel,TAMA_SUM,top4,external,0.711,"[0.673,0.743]",0.687,"[0.645,0.722]",-0.024,down,True,False
segsel,TAMA_SUM,top5,internal,0.646,"[0.605,0.683]",0.647,"[0.604,0.685]",0.001,up,True,False
segsel,TAMA_SUM,top5,external,0.711,"[0.673,0.743]",0.684,"[0.642,0.720]",-0.027,down,True,False
segsel,TAMA_SUM,top6,internal,0.646,"[0.605,0.683]",0.651,"[0.609,0.690]",0.005,up,True,False
segsel,TAMA_SUM,top6,external,0.711,"[0.673,0.743]",0.676,"[0.634,0.712]",-0.035,down,True,False
segsel,TAMA_SUM,top7,internal,0.646,"[0.605,0.683]",0.65,"[0.608,0.689]",0.004,up,True,False
segsel,TAMA_SUM,top7,external,0.711,"[0.673,0.743]",0.678,"[0.636,0.714]",-0.033,down,True,False
segsel,TAMA_SUM,top8,internal,0.646,"[0.605,0.683]",0.649,"[0.606,0.687]",0.003,up,True,False
segsel,TAMA_SUM,top8,external,0.711,"[0.673,0.743]",0.68,"[0.639,0.715]",-0.031,down,True,False
segsel,SAT(피하지방)_SUM,top1,internal,0.528,"[0.478,0.573]",0.551,"[0.505,0.593]",0.024,up,True,False
segsel,SAT(피하지방)_SUM,top1,external,0.565,"[0.511,0.613]",0.509,"[0.453,0.560]",-0.055,down,True,False
segsel,SAT(피하지방)_SUM,top2,internal,0.528,"[0.478,0.573]",0.552,"[0.507,0.593]",0.024,up,True,False
segsel,SAT(피하지방)_SUM,top2,external,0.565,"[0.511,0.613]",0.515,"[0.460,0.564]",-0.05,down,True,False
segsel,SAT(피하지방)_SUM,top3,internal,0.528,"[0.478,0.573]",0.565,"[0.521,0.603]",0.037,up,True,False
segsel,SAT(피하지방)_SUM,top3,external,0.565,"[0.511,0.613]",0.538,"[0.486,0.585]",-0.027,down,True,False
segsel,SAT(피하지방)_SUM,top4,internal,0.528,"[0.478,0.573]",0.567,"[0.523,0.606]",0.04,up,True,False
segsel,SAT(피하지방)_SUM,top4,external,0.565,"[0.511,0.613]",0.539,"[0.487,0.586]",-0.026,down,True,False
segsel,SAT(피하지방)_SUM,top5,internal,0.528,"[0.478,0.573]",0.566,"[0.522,0.605]",0.038,up,True,False
segsel,SAT(피하지방)_SUM,top5,external,0.565,"[0.511,0.613]",0.535,"[0.481,0.583]",-0.03,down,True,False
segsel,SAT(피하지방)_SUM,top6,internal,0.528,"[0.478,0.573]",0.569,"[0.524,0.608]",0.041,up,True,False
segsel,SAT(피하지방)_SUM,top6,external,0.565,"[0.511,0.613]",0.551,"[0.501,0.596]",-0.013,down,True,False
segsel,SAT(피하지방)_SUM,top7,internal,0.528,"[0.478,0.573]",0.571,"[0.527,0.610]",0.044,up,True,False
segsel,SAT(피하지방)_SUM,top7,external,0.565,"[0.511,0.613]",0.557,"[0.507,0.602]",-0.008,down,True,False
segsel,SAT(피하지방)_SUM,top8,internal,0.528,"[0.478,0.573]",0.57,"[0.526,0.610]",0.043,up,True,False
segsel,SAT(피하지방)_SUM,top8,external,0.565,"[0.511,0.613]",0.568,"[0.519,0.612]",0.003,up,True,False
segsel,VAT(내장지방)_SUM,top1,internal,0.523,"[0.483,0.562]",0.557,"[0.518,0.595]",0.034,up,True,False
segsel,VAT(내장지방)_SUM,top1,external,0.418,"[0.359,0.471]",0.346,"[0.291,0.397]",-0.072,down,True,False
segsel,VAT(내장지방)_SUM,top2,internal,0.523,"[0.483,0.562]",0.569,"[0.530,0.607]",0.046,up,True,False
segsel,VAT(내장지방)_SUM,top2,external,0.418,"[0.359,0.471]",0.383,"[0.328,0.434]",-0.035,down,True,False
