rnn_type,hidden_size,num_layers,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
lstm,32,2,32,HTN,0.7957472733216441,0.0004428066212963655
gru,16,2,32,HTN,0.7966626051294243,0.0013581384290766163
lstm,32,1,16,HTN,0.7958928942910636,0.0005884275907158676
lstm,32,2,32,DM,0.7254809790820267,0.006918795957425505
gru,16,1,16,DM,0.7207845079407716,0.0022223248161704623
gru,16,1,32,DM,0.7309203236745794,0.012358140549978192
lstm,16,1,16,CKD,0.7605595444416936,-0.005521168606090421
lstm,32,2,32,CKD,0.7653379549393414,-0.0007427581084425983
lstm,32,1,16,CKD,0.7569530411818106,-0.009127671865973408
