feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,rnn,internal,1259,385,0.7966626051294243,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,rnn,external,1123,507,0.7328120597351366,0.7036174009817897,0.7639971040333919
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,rnn,internal,1259,232,0.7309203236745794,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,rnn,external,1123,335,0.6689749223426017,0.635978917212746,0.7031610531399738
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,rnn,internal,1259,105,0.7653379549393414,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,rnn,external,1123,188,0.6222380248037319,0.5757043762854384,0.6679669833743831
