feature,cohort,group,n,slice,mean,std
HTN,internal,neg,874,1,-1.6969823575761922,1.0686375216420125
HTN,internal,neg,874,2,-1.5581922603181115,1.0120592125026147
HTN,internal,neg,874,3,-1.4222829544079116,0.9665450656824227
HTN,internal,neg,874,4,-1.2915798615353014,0.919910275318763
HTN,internal,neg,874,5,-1.1636665691659076,0.8876925066386117
HTN,internal,neg,874,6,-1.048479336891275,0.8570403821647443
HTN,internal,neg,874,7,-0.946643436313203,0.8297376598832144
HTN,internal,neg,874,8,-0.856794372705124,0.8093606009943046
HTN,internal,neg,874,9,-0.7788407642202893,0.7930757775683063
HTN,internal,neg,874,10,-0.7144392775104095,0.7755397341264374
HTN,internal,neg,874,11,-0.6623954210814168,0.7694900444588464
HTN,internal,neg,874,12,-0.6186910538598868,0.7568917489121255
HTN,internal,neg,874,13,-0.5806143298449835,0.748768742571818
HTN,internal,neg,874,14,-0.5503422118965681,0.7423494169281115
HTN,internal,neg,874,15,-0.5272214288108295,0.7286843602825454
HTN,internal,neg,874,16,-0.5029727952418463,0.7249681800373156
HTN,internal,neg,874,17,-0.4850655617136354,0.7258182101958608
HTN,internal,neg,874,18,-0.47535210418312507,0.720944909582895
HTN,internal,neg,874,19,-0.47131965495492023,0.7135559632903983
HTN,internal,neg,874,20,-0.46316257257445576,0.7100281881384022
HTN,internal,neg,874,21,-0.4551538747118626,0.7072673370197631
HTN,internal,neg,874,22,-0.4484855461755092,0.7051702591662079
HTN,internal,neg,874,23,-0.44502076266223173,0.7056465796187479
HTN,internal,neg,874,24,-0.4448490052217731,0.7031446374557647
HTN,internal,neg,874,25,-0.44761118637621833,0.6982632225671798
HTN,internal,neg,874,26,-0.4477849755769509,0.6973370020489974
HTN,internal,neg,874,27,-0.4504198724030194,0.6963953222417208
HTN,internal,neg,874,28,-0.45653903374729693,0.6920651753599777
HTN,internal,neg,874,29,-0.462604623949133,0.6879332858603944
HTN,internal,neg,874,30,-0.4719009146909865,0.6830500700018781
HTN,internal,neg,874,31,-0.482853005051116,0.6768643460203724
HTN,internal,neg,874,32,-0.4945999289071235,0.6718951787151833
HTN,internal,neg,874,33,-0.5053520631975242,0.6682201527976873
