feature,clinic4,top1,top2,top3,top4,top5,top6,top7,top8,delta_r2_vs_clinic4_top1,delta_r2_vs_clinic4_top2,delta_r2_vs_clinic4_top3,delta_r2_vs_clinic4_top4,delta_r2_vs_clinic4_top5,delta_r2_vs_clinic4_top6,delta_r2_vs_clinic4_top7,delta_r2_vs_clinic4_top8
IMATA_SUM,0.3122,0.2373,0.2392,0.2515,0.264,0.2506,0.2682,0.2726,0.296,-0.075,-0.0731,-0.0608,-0.0482,-0.0617,-0.0441,-0.0397,-0.0163
LAMA_SUM,-0.3529,-0.5391,-0.4848,-0.4403,-0.4251,-0.385,-0.2656,-0.2613,-0.2298,-0.1861,-0.1319,-0.0874,-0.0722,-0.0321,0.0873,0.0916,0.1231
NAMA_SUM,0.018,-0.3775,-0.4224,-0.434,-0.4777,-0.4799,-0.413,-0.4501,-0.4571,-0.3955,-0.4404,-0.452,-0.4957,-0.4979,-0.431,-0.4681,-0.4751
SAT(피하지방)_SUM,0.4906,0.4398,0.4318,0.4387,0.4392,0.4178,0.4494,0.4508,0.475,-0.0508,-0.0588,-0.0518,-0.0514,-0.0727,-0.0411,-0.0397,-0.0156
TAMA_SUM,0.3883,0.3225,0.3099,0.3014,0.3016,0.2919,0.2945,0.2692,0.2484,-0.0658,-0.0784,-0.0869,-0.0867,-0.0964,-0.0938,-0.119,-0.1399
Total Fat_SUM,0.4726,0.3729,0.371,0.3945,0.4062,0.3771,0.4214,0.4267,0.4636,-0.0998,-0.1017,-0.0781,-0.0664,-0.0956,-0.0512,-0.046,-0.009
VAT(내장지방)_SUM,0.3353,0.1831,0.1887,0.22,0.1857,0.2657,0.3183,0.3348,0.384,-0.1522,-0.1466,-0.1153,-0.1496,-0.0696,-0.017,-0.0005,0.0487
