feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,tcn,internal,1259,385,0.794724954679188,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,tcn,external,1123,507,0.7280411895796512,0.6991308010908102,0.7587950869765882
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,tcn,internal,1259,232,0.723751804720814,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,tcn,external,1123,335,0.6629100689446169,0.6293332706389461,0.6970297252129974
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,tcn,internal,1259,105,0.7734340183213666,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,tcn,external,1123,188,0.6096882466719763,0.5638196920341285,0.6564990303583924
