n_levels,width,kernel_size,feature,internal_oof_auc,delta_vs_clinic4
4,16,5,HTN,0.794724954679188,-0.0005795120211596894
3,16,5,HTN,0.7937561294540699,-0.0015483372462777867
4,32,5,HTN,0.7940562869624656,-0.0012481797378821602
4,16,5,DM,0.723751804720814,0.0051896215962128345
4,32,3,DM,0.7116643722929188,-0.006897810831682394
3,32,3,DM,0.7112320787026156,-0.0073301044219855616
3,16,5,CKD,0.7570933399356277,-0.00898737311215636
3,32,5,CKD,0.7734340183213666,0.007353305273582578
4,32,3,CKD,0.7590987868284229,-0.006981926219361112
