feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,image_gaf_cnn,internal,1259,385,0.7983743944842344,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,image_gaf_cnn,external,1123,507,0.7244966571889648,0.6952529912003365,0.7556178689347125
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,image_gaf_cnn,internal,1259,232,0.7205746566833429,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,image_gaf_cnn,external,1123,335,0.6633229790135616,0.6300245265365804,0.6979728827975591
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,image_gaf_cnn,internal,1259,105,0.7316332425517866,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,image_gaf_cnn,external,1123,188,0.6131072932074184,0.5679043223435047,0.6587624743022751
