Characteristic,Men,Women,p-value
"Age, years, mean ± SD",59.7 ± 12.4,55.5 ± 11.7,<0.001
"Age, years, range",20–89,23–91,
"Height, cm, mean ± SD",169.7 ± 5.9,158.0 ± 6.0,<0.001
"Weight, kg, mean ± SD",69.7 ± 10.0,57.6 ± 8.2,<0.001
"BMI, kg/m², mean ± SD",24.2 ± 2.9,23.1 ± 3.1,<0.001
"Hypertension, n (%)",184 (47.2%),145 (20.8%),<0.001
"Diabetes mellitus, n (%)",105 (26.9%),99 (14.2%),<0.001
"Chronic kidney disease, n (%)",62 (15.9%),21 (3.0%),<0.001
"CT scanner vendor, n (%)",,,<0.001
— Siemens,210 (53.8%),356 (51.0%),
— GE,69 (17.7%),249 (35.7%),
— Philips,111 (28.5%),91 (13.0%),
— Canon,0 (0.0%),2 (0.3%),
