feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.7267,0.6323,0.818,0.7204,0.618,0.8138,-0.0064,-0.2311,0.8173
SAT(피하지방)_SUM,external,0.8593,0.7955,0.9133,0.8515,0.7892,0.9083,-0.0078,-0.2189,0.8267
VAT(내장지방)_SUM,internal,0.7828,0.7091,0.8475,0.8759,0.8282,0.9169,0.0931,3.393,0.0007
VAT(내장지방)_SUM,external,0.8216,0.7687,0.871,0.8568,0.806,0.9022,0.0353,1.1035,0.2698
Total Fat_SUM,internal,0.7683,0.6776,0.8492,0.8357,0.767,0.8966,0.0674,2.5651,0.0103
Total Fat_SUM,external,0.8747,0.8219,0.9208,0.8483,0.7748,0.9106,-0.0264,-0.6342,0.5259
VAT_TotalFat_ratio,internal,0.6241,0.5561,0.6942,0.7973,0.7335,0.8568,0.1732,4.5459,0.0
VAT_TotalFat_ratio,external,0.6894,0.6263,0.7512,0.7044,0.6393,0.7672,0.015,0.386,0.6995
VAT_SAT_ratio,internal,0.6241,0.5561,0.6942,0.7973,0.7335,0.8568,0.1732,4.5459,0.0
VAT_SAT_ratio,external,0.6957,0.6288,0.7597,0.6985,0.6301,0.767,0.0027,0.0666,0.9469
VAT_TAMA_ratio,internal,0.7172,0.6325,0.7923,0.8193,0.7503,0.8812,0.1021,3.4181,0.0006
VAT_TAMA_ratio,external,0.7831,0.7245,0.8381,0.7816,0.7206,0.8402,-0.0015,-0.0379,0.9698
TotalFat_TAMA_ratio,internal,0.7748,0.6425,0.888,0.7757,0.617,0.9092,0.0009,0.0186,0.9851
TotalFat_TAMA_ratio,external,0.7442,0.6244,0.8539,0.7283,0.6181,0.8252,-0.0159,-0.2606,0.7944
SAT_TotalFat_ratio,internal,0.726,0.6535,0.7945,0.7914,0.7318,0.845,0.0655,2.6321,0.0085
SAT_TotalFat_ratio,external,0.7291,0.6604,0.7917,0.7592,0.6981,0.8186,0.0301,1.2026,0.2291
SAT_TAMA_ratio,internal,0.4074,0.157,0.6505,0.5877,0.3075,0.839,0.1803,2.8948,0.0038
SAT_TAMA_ratio,external,0.6959,0.5385,0.8478,0.5459,0.3806,0.7046,-0.15,-1.2645,0.206
