feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.7267472411981083,0.7203757225433526,0.0063715186547557146,0.23106692154571806,0.817262812549536
SAT(피하지방)_SUM,external,clinic4_aec_best,0.8593121693121694,0.8515343915343916,0.007777777777777772,0.2188841911887496,0.8267402614826254
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.7828229102513857,0.8758748110408152,-0.09305190078942949,-3.3929691893852083,0.0006913941442077158
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8215567917307769,0.8568272379374285,-0.03527044620665165,-1.1034997895884782,0.26981018287682423
Total Fat_SUM,internal,clinic4_aec_best,0.7682606410930111,0.8356542301629007,-0.06739358906988968,-2.565060485392684,0.010315782060097332
Total Fat_SUM,external,clinic4_aec_best,0.8746956961095035,0.8483303477102567,0.026365348399246757,0.6342322957990286,0.5259292337731882
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.6241466939060242,0.7972993173551248,-0.17315262344910065,-4.5458892907205435,5.470378640182035e-06
VAT_TotalFat_ratio,external,clinic4_aec_best,0.6894076789504149,0.7044182905653097,-0.015010611614894809,-0.38602240176918406,0.6994800780393395
VAT_SAT_ratio,internal,clinic4_aec_best,0.6241466939060242,0.7972993173551248,-0.17315262344910065,-4.5458892907205435,5.470378640182035e-06
VAT_SAT_ratio,external,clinic4_aec_best,0.6957456484888577,0.6984743870674329,-0.0027287385785752516,-0.06662576698830618,0.9468796322278026
VAT_TAMA_ratio,internal,clinic4_aec_best,0.7172302737520129,0.8193236714975846,-0.10209339774557169,-3.4181276849421143,0.000630535190573116
VAT_TAMA_ratio,external,clinic4_aec_best,0.7830584822110247,0.7816078790655061,0.001450603145518592,0.03788878191292182,0.9697763573647076
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.774798927613941,0.7757451506071598,-0.0009462229932187816,-0.01863165437920908,0.9851349506721884
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.7441581232104922,0.7282719128105661,0.015886210399926104,0.2606225907457643,0.7943835667020516
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.7259644970414201,0.7914319526627218,-0.06546745562130174,-2.6321135547646506,0.008485549613257651
SAT_TotalFat_ratio,external,clinic4_aec_best,0.729110679290528,0.7591681481787738,-0.030057468888245786,-1.202625373059206,0.2291213243845166
SAT_TAMA_ratio,internal,clinic4_aec_best,0.4073952879581152,0.587696335078534,-0.18030104712041883,-2.89476465236821,0.0037944290106623727
SAT_TAMA_ratio,external,clinic4_aec_best,0.6958837772397095,0.5459241323648103,0.1499596448748992,1.2645496990274658,0.20603279427857046
