feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy,suppressed
CKD,clinic4_vatsat_aec,external,GE,217,49,0.6335034013605442,0.6326530612244898,0.5178571428571429,0.543778801843318,False
CKD,clinic4_vatsat_aec,external,Siemens,653,109,0.5974096060442525,0.6422018348623854,0.4669117647058823,0.4961715160796324,False
CKD,clinic4_vatsat_aec,external,Philips,228,29,0.7444117137411194,0.8620689655172413,0.4974874371859296,0.543859649122807,False
CKD,clinic4_vatsat_aec,external,Other,24,1,,,,,True
CKD,clinic4_vatsat_aec,internal,Siemens,688,74,0.7648560612729994,0.8783783783783784,0.5781758957654723,0.6104651162790697,False
CKD,clinic4_vatsat_aec,internal,Philips,236,18,0.6745667686034659,0.6111111111111112,0.591743119266055,0.5932203389830508,False
CKD,clinic4_vatsat_aec,internal,GE,329,13,0.8351996105160662,0.7692307692307693,0.7215189873417721,0.723404255319149,False
DM,clinic4_vatsat_aec,external,GE,217,69,0.7283587935761849,0.7971014492753623,0.4932432432432432,0.5898617511520737,False
DM,clinic4_vatsat_aec,external,Siemens,653,187,0.6663147506368915,0.7807486631016043,0.4098712446351931,0.5160796324655437,False
DM,clinic4_vatsat_aec,external,Philips,228,73,0.720106053910738,0.8493150684931506,0.4645161290322581,0.5877192982456141,False
DM,clinic4_vatsat_aec,external,Other,24,6,0.6296296296296298,0.8333333333333334,0.1111111111111111,0.2916666666666667,False
DM,clinic4_vatsat_aec,internal,Siemens,688,138,0.744189723320158,0.8115942028985508,0.5509090909090909,0.6031976744186046,False
DM,clinic4_vatsat_aec,internal,Philips,236,46,0.6988558352402745,0.6739130434782609,0.631578947368421,0.6398305084745762,False
DM,clinic4_vatsat_aec,internal,GE,329,48,0.7317615658362989,0.7708333333333334,0.6619217081850534,0.6778115501519757,False
HTN,clinic4_vatsat_aec,external,GE,217,109,0.7477064220183486,0.7798165137614679,0.5092592592592593,0.6451612903225806,False
HTN,clinic4_vatsat_aec,external,Siemens,653,290,0.7293245939013964,0.7965517241379311,0.5206611570247934,0.6431852986217458,False
HTN,clinic4_vatsat_aec,external,Philips,228,94,0.733010479517307,0.8297872340425532,0.5,0.6359649122807017,False
HTN,clinic4_vatsat_aec,external,Other,24,14,0.6571428571428571,0.8571428571428571,0.4,0.6666666666666666,False
HTN,clinic4_vatsat_aec,internal,Siemens,688,249,0.8168070916925104,0.8835341365461847,0.5649202733485194,0.6802325581395349,False
HTN,clinic4_vatsat_aec,internal,Philips,236,78,0.748539435248296,0.8333333333333334,0.5949367088607594,0.673728813559322,False
HTN,clinic4_vatsat_aec,internal,GE,329,57,0.8307533539731682,0.8771929824561403,0.6470588235294118,0.6869300911854104,False
HTN,clinic4_vatsat_aec,internal,Other,6,1,,,,,True
