feature,cohort,auc_clinic4,auc_clinic4_aec_mean,auc_diff,z,p_value
TAMA_SUM,internal,0.8320772946859903,0.8409661835748793,-0.008888888888888946,-0.40146974700469074,0.6880743074437325
TAMA_SUM,external,0.8768685567010309,0.8559278350515463,0.020940721649484573,2.351146439004602,0.018715666600988088
NAMA_SUM,internal,0.8029130632680929,0.8109922621756941,-0.008079198907601226,-0.32218150549639557,0.7473151945917478
NAMA_SUM,external,0.7574416969412867,0.7741415680300011,-0.016699871088714402,-0.9259237648578107,0.3544856000295985
LAMA_SUM,internal,0.7689385638103587,0.8096281686025275,-0.040689604792168765,-1.2458678909081673,0.2128128998970623
LAMA_SUM,external,0.8098525448875162,0.7869016259424106,0.02295091894510559,0.9750825574960074,0.3295193099990599
IMATA_SUM,internal,0.7505350222684944,0.7860489328474753,-0.0355139105789809,-1.3012546742481321,0.19317129627518237
IMATA_SUM,external,0.8071566654830947,0.8229376257545272,-0.015780960271432498,-0.6258850707607112,0.5313903274530583
SAT(피하지방)_SUM,internal,0.7267472411981083,0.7167630057803468,0.0099842354177615,0.3141224380449599,0.7534280483368091
SAT(피하지방)_SUM,external,0.8593121693121694,0.8971957671957672,-0.03788359788359785,-2.638394465608678,0.00832996233372095
VAT(내장지방)_SUM,internal,0.7828229102513857,0.8622697497340575,-0.07944683948267173,-2.9998934421736996,0.0027007407105062277
VAT(내장지방)_SUM,external,0.8215567917307769,0.8794729159269342,-0.057916124196157326,-2.4945652369546014,0.012611154223637278
Total Fat_SUM,internal,0.7682606410930111,0.8150945874934314,-0.04683394640042038,-1.6905091509234644,0.09093058905095516
Total Fat_SUM,external,0.8746956961095035,0.8956869229709247,-0.020991226861421186,-1.072383075818195,0.283548006380292
