variant,description,cohort,sens_delta,spec_delta,verdict,ni_verdict,ni_ci_upper_97.5,ni_margin,sens_combined,spec_combined,ppv_combined,acc_combined
baseline,3_aec_cnn_reclassify.py (no change),internal,-0.007751937984496,0.0520291363163372,PASS,NON-INFERIOR,0.0367718209497858,0.05,0.8992248062015504,0.5879292403746098,0.2265625,0.6247706422018349
baseline,3_aec_cnn_reclassify.py (no change),external,-0.0070921985815602,0.0382165605095541,PASS,NON-INFERIOR,0.0348880434028255,0.05,0.9219858156028368,0.5286624203821656,0.26,0.5885529157667386
pretrain,self-supervised encoder pretraining on full internal cohort,internal,-0.0155038759689921,0.0676378772112383,PASS,NON-INFERIOR,0.0489147394730604,0.05,0.8914728682170543,0.603537981269511,0.2318548387096774,0.6376146788990825
pretrain,self-supervised encoder pretraining on full internal cohort,external,-0.0212765957446808,0.043312101910828,FAIL,NOT NON-INFERIOR,0.0565365414213543,0.05,0.9078014184397164,0.5337579617834395,0.2591093117408907,0.5907127429805615
skip,real residual/skip connection (block3(h2)+h2),internal,-0.0155038759689921,0.0437044745057232,PASS,NON-INFERIOR,0.0489147394730604,0.05,0.8914728682170543,0.5796045785639958,0.2215799614643545,0.6165137614678899
skip,real residual/skip connection (block3(h2)+h2),external,-0.0709219858156028,0.0853503184713375,FAIL,NOT NON-INFERIOR,0.1220106446528678,0.05,0.8581560283687943,0.575796178343949,0.2665198237885463,0.6187904967602592
bagging,bootstrap-resampled ensemble members,internal,-0.007751937984496,0.0353798126951092,PASS,NON-INFERIOR,0.0367718209497858,0.05,0.8992248062015504,0.5712799167533819,0.2196969696969697,0.6100917431192661
bagging,bootstrap-resampled ensemble members,external,0.0,0.0229299363057324,PASS,NON-INFERIOR,0.022759858065156,0.05,0.9290780141843972,0.513375796178344,0.2553606237816764,0.5766738660907127
repeatedcv,5x repeated stratified-kfold OOF averaging,internal,-0.007751937984496,0.0270551508844953,PASS,NON-INFERIOR,0.0367718209497858,0.05,0.8992248062015504,0.562955254942768,0.2164179104477611,0.6027522935779817
repeatedcv,5x repeated stratified-kfold OOF averaging,external,-0.0141843971631205,0.0458598726114649,PASS,NON-INFERIOR,0.0460238633118956,0.05,0.9148936170212766,0.5363057324840764,0.2616632860040568,0.593952483801296
film,FiLM side-feature conditioning instead of late concat,internal,-0.007751937984496,0.0353798126951092,PASS,NON-INFERIOR,0.0367718209497858,0.05,0.8992248062015504,0.5712799167533819,0.2196969696969697,0.6100917431192661
film,FiLM side-feature conditioning instead of late concat,external,-0.0212765957446808,0.0738853503184713,FAIL,NOT NON-INFERIOR,0.0565365414213543,0.05,0.9078014184397164,0.5643312101910828,0.2723404255319149,0.6166306695464363
fcn,standard FCN 1D-CNN architecture (Wang et al. 2017) instead of user-defined net,internal,-0.0155038759689921,0.0416233090530697,PASS,NON-INFERIOR,0.0489147394730604,0.05,0.8914728682170543,0.5775234131113424,0.2207293666026871,0.6146788990825688
fcn,standard FCN 1D-CNN architecture (Wang et al. 2017) instead of user-defined net,external,0.0,0.0331210191082802,PASS,NON-INFERIOR,0.022759858065156,0.05,0.9290780141843972,0.5235668789808917,0.2594059405940594,0.5853131749460043
crossattn,cross-attention side-feature conditioning instead of late concat,internal,-0.0155038759689921,0.0187304890738814,PASS,NON-INFERIOR,0.0489147394730604,0.05,0.8914728682170543,0.554630593132154,0.2117863720073664,0.5944954128440367
crossattn,cross-attention side-feature conditioning instead of late concat,external,-0.0283687943262411,0.0751592356687897,FAIL,NOT NON-INFERIOR,0.0666117858315126,0.05,0.900709219858156,0.5656050955414013,0.2713675213675213,0.6166306695464363
