feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,image_lineplot_cnn,internal,1259,385,0.7936372551933194,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,image_lineplot_cnn,external,1123,507,0.727788237403622,0.6985153792001201,0.7586335737491452
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,image_lineplot_cnn,internal,1259,232,0.7145141523688009,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,image_lineplot_cnn,external,1123,335,0.6650011364497311,0.6308961159668358,0.6994303030324612
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,image_lineplot_cnn,internal,1259,105,0.7532887678468267,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,image_lineplot_cnn,external,1123,188,0.6154283763795654,0.5699704425353789,0.6615064342141314
