feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.8757582601961796,0.8947792978833248,-0.019021037687145137,-1.841449438228845,0.0655557236213617
SAT(피하지방)_SUM,external,clinic4_aec_best,0.8740237691001698,0.8760611205432937,-0.0020373514431238915,-0.1820764842086845,0.8555227031313489
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.8784620991253644,0.9100917152575315,-0.03162961613216708,-3.083515428918072,0.002045705021595376
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8032622466216216,0.8518581081081081,-0.048595861486486536,-3.1180176904426733,0.0018207187463644553
Total Fat_SUM,internal,clinic4_aec_best,0.8812470790429815,0.9035744975953928,-0.02232741855241127,-2.1858941493690196,0.028823350388738574
Total Fat_SUM,external,clinic4_aec_best,0.8567478912839737,0.8621836925960638,-0.005435801312090094,-0.44878372049933074,0.6535876835142778
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.8172714208730016,0.8503532722591463,-0.03308185138614461,-2.5922454401859283,0.009535171790380388
VAT_TotalFat_ratio,external,clinic4_aec_best,0.7257259330310429,0.8191271363794908,-0.09340120334844781,-5.442839200857874,5.2437979027085426e-08
VAT_SAT_ratio,internal,clinic4_aec_best,0.8291376716970529,0.8691218036661763,-0.039984131969123426,-3.1925193493450745,0.001410374950596885
VAT_SAT_ratio,external,clinic4_aec_best,0.728693810089159,0.818213562399609,-0.08951975231044995,-4.809335275172716,1.5143302735887784e-06
VAT_TAMA_ratio,internal,clinic4_aec_best,0.8723126666288502,0.9037807022519712,-0.03146803562312095,-3.0877158131732942,0.0020170125630309863
VAT_TAMA_ratio,external,clinic4_aec_best,0.8038147993311037,0.8609949832775919,-0.05718018394648827,-3.3316344891026755,0.000863375712551095
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.8000770416024653,0.8328967642526964,-0.03281972265023114,-2.3266170731372804,0.01998565502721837
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.7756223868242884,0.8277267228388904,-0.05210433601460196,-3.007526991264445,0.0026338273431874837
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.7989962518264405,0.8246299472714567,-0.025633695445016147,-1.915141615599946,0.055474445825603
SAT_TotalFat_ratio,external,clinic4_aec_best,0.7914637890950563,0.8089660920296531,-0.01750230293459676,-0.9031921937479127,0.3664239001868783
SAT_TAMA_ratio,internal,clinic4_aec_best,0.7673141891891891,0.8038663663663663,-0.03655217717717718,-2.175386165222905,0.02960119036586643
SAT_TAMA_ratio,external,clinic4_aec_best,0.7487179487179487,0.7893399810066477,-0.040622032288698984,-2.3114519590949616,0.020807903801800212
