feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy
SAT(피하지방)_SUM,clinic4,internal,700,104,0.14857142857142858,0.8757582601961796,0.8413801098023432,0.9090866046003118,0.1476540726553216,0.8076923076923077,0.8053691275167785,0.8057142857142857
SAT(피하지방)_SUM,clinic4,external,498,95,0.19076305220883535,0.8740237691001698,0.8281136091431317,0.9113581144522486,0.1476540726553216,0.7684210526315789,0.8635235732009926,0.8453815261044176
SAT(피하지방)_SUM,clinic4_aec_best,internal,700,104,0.14857142857142858,0.8947792978833247,0.8646283856405257,0.9216213213808455,0.21748669185361807,0.75,0.8741610738255033,0.8557142857142858
SAT(피하지방)_SUM,clinic4_aec_best,external,498,95,0.19076305220883535,0.8760611205432937,0.8281858956821714,0.9166866145781493,0.21748669185361807,0.49473684210526314,0.9776674937965261,0.8855421686746988
VAT(내장지방)_SUM,clinic4,internal,700,112,0.16,0.8784620991253644,0.8488718390536953,0.9061762976901422,0.15036878818444907,0.8392857142857143,0.7636054421768708,0.7757142857142857
VAT(내장지방)_SUM,clinic4,external,498,128,0.2570281124497992,0.8032622466216216,0.7579715220567127,0.8463405285676505,0.15036878818444907,0.6953125,0.7891891891891892,0.7650602409638554
VAT(내장지방)_SUM,clinic4_aec_best,internal,700,112,0.16,0.9100917152575316,0.8845933839805719,0.9334726240416871,0.1598505494294257,0.8482142857142857,0.8248299319727891,0.8285714285714286
VAT(내장지방)_SUM,clinic4_aec_best,external,498,128,0.2570281124497992,0.851858108108108,0.8138322747984646,0.8871106281100811,0.1598505494294257,0.6484375,0.8783783783783784,0.8192771084337349
Total Fat_SUM,clinic4,internal,700,113,0.16142857142857142,0.8812470790429814,0.8486657869598362,0.9105027376367695,0.16068806755195875,0.8495575221238938,0.7938671209540034,0.8028571428571428
Total Fat_SUM,clinic4,external,498,110,0.22088353413654618,0.8567478912839737,0.8125708936005451,0.8964975808974702,0.16068806755195875,0.7272727272727273,0.8530927835051546,0.8253012048192772
Total Fat_SUM,clinic4_aec_best,internal,700,113,0.16142857142857142,0.9035744975953928,0.8768019643066735,0.9292793373074364,0.19747346340561048,0.7964601769911505,0.8551959114139693,0.8457142857142858
Total Fat_SUM,clinic4_aec_best,external,498,110,0.22088353413654618,0.8621836925960636,0.818064185082441,0.9021464080940791,0.19747346340561048,0.5545454545454546,0.9690721649484536,0.8775100401606426
VAT_TotalFat_ratio,clinic4,internal,700,114,0.16285714285714287,0.8172714208730016,0.776738952849821,0.8537662578211296,0.1986742841455922,0.6842105263157895,0.7986348122866894,0.78
VAT_TotalFat_ratio,clinic4,external,498,122,0.24497991967871485,0.7257259330310429,0.6749076904754349,0.771572653330984,0.1986742841455922,0.6229508196721312,0.6914893617021277,0.6746987951807228
VAT_TotalFat_ratio,clinic4_aec_best,internal,700,114,0.16285714285714287,0.8503532722591461,0.8148181971649889,0.8842591529023907,0.15732507583310967,0.7894736842105263,0.7610921501706485,0.7657142857142857
VAT_TotalFat_ratio,clinic4_aec_best,external,498,122,0.24497991967871485,0.8191271363794908,0.7768126421888509,0.8585837995521065,0.15732507583310967,0.8442622950819673,0.6462765957446809,0.6947791164658634
VAT_SAT_ratio,clinic4,internal,700,101,0.1442857142857143,0.8291376716970529,0.7893796007477811,0.8664588082038576,0.18494073868264957,0.7029702970297029,0.8163606010016694,0.8
VAT_SAT_ratio,clinic4,external,498,111,0.22289156626506024,0.7286938100891589,0.675117055244993,0.776814338365601,0.18494073868264957,0.6216216216216216,0.7260981912144703,0.7028112449799196
VAT_SAT_ratio,clinic4_aec_best,internal,700,101,0.1442857142857143,0.8691218036661763,0.8326823127886084,0.9031314686368539,0.11104618100165206,0.8712871287128713,0.7262103505843072,0.7471428571428571
VAT_SAT_ratio,clinic4_aec_best,external,498,111,0.22289156626506024,0.818213562399609,0.7727370285031575,0.8586149998503498,0.11104618100165206,0.8738738738738738,0.6175710594315246,0.6746987951807228
VAT_TAMA_ratio,clinic4,internal,700,122,0.1742857142857143,0.8723126666288503,0.8430885838018811,0.8980726944132632,0.1533124357729056,0.8770491803278688,0.7508650519031141,0.7728571428571429
