feature,model,cohort,scanner,n,n_pos,auc
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,22,0.7576704545454546
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,202,10,0.9250000000000002
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,317,86,0.8773784355179705
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,380,28,0.8214285714285714
SAT(피하지방)_SUM,clinic4,external,iCT 256,135,15,0.8255555555555555
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,149,33,0.8362068965517242
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,25,0.9426950354609929
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,123,18,0.9026455026455027
SAT(피하지방)_SUM,clinic4,external,LightSpeed VCT,50,4,0.9184782608695653
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,39,0.9020485687152355
SAT(피하지방)_SUM,clinic4,external,Sensation 64,48,5,0.8883720930232558
SAT(피하지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,182,22,0.7465909090909091
SAT(피하지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,202,10,0.94375
SAT(피하지방)_SUM,clinic4_aec_best,internal,Revolution CT,317,86,0.8934360213429982
SAT(피하지방)_SUM,clinic4_aec_best,internal,Sensation 64,380,28,0.8396915584415583
SAT(피하지방)_SUM,clinic4_aec_best,external,iCT 256,135,15,0.8850000000000001
SAT(피하지방)_SUM,clinic4_aec_best,external,Revolution EVO,149,33,0.8662486938349008
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,166,25,0.9418439716312058
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Force,123,18,0.8798941798941798
SAT(피하지방)_SUM,clinic4_aec_best,external,LightSpeed VCT,50,4,0.9619565217391304
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,228,39,0.9089675756342422
SAT(피하지방)_SUM,clinic4_aec_best,external,Sensation 64,48,5,0.8604651162790697
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,33,0.7984543420785031
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,202,18,0.9272342995169083
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,317,70,0.8670329670329671
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,380,42,0.8218512256973796
VAT(내장지방)_SUM,clinic4,external,iCT 256,135,24,0.774024024024024
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,149,46,0.7437737441958633
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,27,0.90833999467093
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,123,27,0.8479938271604938
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,50,12,0.8135964912280702
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,44,0.8869812252964426
VAT(내장지방)_SUM,clinic4,external,Sensation 64,48,11,0.8058968058968059
VAT(내장지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,182,33,0.8501118568232662
VAT(내장지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,202,18,0.955012077294686
VAT(내장지방)_SUM,clinic4_aec_best,internal,Revolution CT,317,70,0.9030653556969346
VAT(내장지방)_SUM,clinic4_aec_best,internal,Sensation 64,380,42,0.9019442096365173
VAT(내장지방)_SUM,clinic4_aec_best,external,iCT 256,135,24,0.8194444444444444
VAT(내장지방)_SUM,clinic4_aec_best,external,Revolution EVO,149,46,0.7999155761924863
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,166,27,0.8902211564082068
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Force,123,27,0.8958333333333333
VAT(내장지방)_SUM,clinic4_aec_best,external,LightSpeed VCT,50,12,0.831140350877193
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,228,44,0.9077322134387352
VAT(내장지방)_SUM,clinic4_aec_best,external,Sensation 64,48,11,0.8771498771498772
Total Fat_SUM,clinic4,internal,SOMATOM Definition AS+,182,27,0.782078853046595
Total Fat_SUM,clinic4,internal,Ingenuity Core 128,202,10,0.9598958333333334
Total Fat_SUM,clinic4,internal,Revolution CT,317,84,0.8793684855916616
Total Fat_SUM,clinic4,internal,Sensation 64,380,34,0.8352601156069364
Total Fat_SUM,clinic4,external,iCT 256,135,20,0.7347826086956522
Total Fat_SUM,clinic4,external,Revolution EVO,149,42,0.817311971517579
Total Fat_SUM,clinic4,external,SOMATOM Definition AS+,166,27,0.9584332533972821
Total Fat_SUM,clinic4,external,SOMATOM Force,123,20,0.9296116504854368
Total Fat_SUM,clinic4,external,LightSpeed VCT,50,4,0.8695652173913043
Total Fat_SUM,clinic4,external,SOMATOM Definition Flash,228,40,0.9456117021276595
Total Fat_SUM,clinic4,external,Sensation 64,48,9,0.8974358974358975
Total Fat_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,182,27,0.7925925925925925
Total Fat_SUM,clinic4_aec_best,internal,Ingenuity Core 128,202,10,0.9671875
