feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.8405993573191025,0.8497446491077064,-0.009145291788603904,-0.9285309815110693,0.3531322046339159
SAT(피하지방)_SUM,external,clinic4_aec_best,0.8731423020883925,0.8859905514592256,-0.012848249370833065,-1.6554910916527628,0.09782492197142438
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.8472203112203113,0.8943357903357904,-0.047115479115479086,-4.45359493595289,8.44443440737973e-06
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8128780076448267,0.8600291692299186,-0.047151161585091916,-3.516427527706684,0.0004373960506952684
Total Fat_SUM,internal,clinic4_aec_best,0.8522265686334747,0.8706248591967559,-0.01839829056328124,-2.011158917311497,0.044308673618431715
Total Fat_SUM,external,clinic4_aec_best,0.8673289925195219,0.8892545316689204,-0.021925539149398543,-2.6405549286214933,0.008277037413747792
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.7568462138953942,0.8301951600312256,-0.07334894613583143,-5.14895867029424,2.6193658456928446e-07
VAT_TotalFat_ratio,external,clinic4_aec_best,0.7075484934582063,0.7866217685643131,-0.07907327510610684,-4.700520997335991,2.594985703973486e-06
VAT_SAT_ratio,internal,clinic4_aec_best,0.7627314814814815,0.8441158471690081,-0.0813843656875266,-5.442755211603437,5.246271818593923e-08
VAT_SAT_ratio,external,clinic4_aec_best,0.7099944421077931,0.7837078651685393,-0.07371342306074624,-4.065080536048298,4.801587874398537e-05
VAT_TAMA_ratio,internal,clinic4_aec_best,0.842034241376402,0.8902433486223652,-0.04820910724596317,-4.580447639534814,4.6398177068398405e-06
VAT_TAMA_ratio,external,clinic4_aec_best,0.8030355493998153,0.849186627559611,-0.0461510781597958,-3.0842373862103147,0.0020407468949906102
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.821366955298812,0.8477199695832414,-0.026353014284429377,-2.2980585135167004,0.02155845904442817
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.8188631316869659,0.8561587376354215,-0.0372956059484556,-3.1003877341558987,0.0019326746337234154
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.7746151741341021,0.8111028387072141,-0.03648766457311203,-3.044096297781312,0.002333804233003713
SAT_TotalFat_ratio,external,clinic4_aec_best,0.7588626447390502,0.7957815908709515,-0.036918946131901276,-2.5200162529607693,0.011734941564772092
SAT_TAMA_ratio,internal,clinic4_aec_best,0.8185672307583375,0.8451550662040643,-0.02658783544572685,-2.1711622069983187,0.029918913071170238
SAT_TAMA_ratio,external,clinic4_aec_best,0.8184349340380079,0.8385222083852221,-0.020087274347214135,-1.9490772750588798,0.0512861970737128
