feature,sex,direction,mean,sd,cutoff,n_internal
SAT(피하지방)_SUM,M,high,16164.426794871797,7257.040674289435,23421.46746916123,390
SAT(피하지방)_SUM,F,high,21963.435742857142,7834.842092677729,29798.27783553487,700
VAT(내장지방)_SUM,M,high,11419.947,5866.767741003794,17286.714741003794,390
VAT(내장지방)_SUM,F,high,6952.253514285714,3972.089707951393,10924.343222237107,700
Total Fat_SUM,M,high,27584.373794871794,12112.48203533207,39696.855830203865,390
Total Fat_SUM,F,high,28915.689257142858,10896.324642675634,39812.01389981849,700
VAT_TotalFat_ratio,M,high,0.4023335794695785,0.08953973773490313,0.49187331720448163,390
VAT_TotalFat_ratio,F,high,0.22952730359885315,0.07497476458918388,0.30450206818803705,700
VAT_SAT_ratio,M,high,0.7121495362239978,0.26609835977360136,0.9782478959975991,390
VAT_SAT_ratio,F,high,0.3109423973118662,0.13537547693055255,0.44631787424241876,700
VAT_TAMA_ratio,M,high,0.4660479986524713,0.22946958249215071,0.695517581144622,390
VAT_TAMA_ratio,F,high,0.3979137977130402,0.20911688759017766,0.6070306853032179,700
TotalFat_TAMA_ratio,M,high,1.1432032137411334,0.656400127228017,1.7996033409691505,390
TotalFat_TAMA_ratio,F,high,1.6582769384972094,0.5055980846501983,2.1638750231474075,700
SAT_TotalFat_ratio,M,high,0.5976664205304215,0.08953973773490313,0.6872061582653246,390
SAT_TotalFat_ratio,F,high,0.7704726964011469,0.07497476458918388,0.8454474609903307,700
SAT_TAMA_ratio,M,high,0.6771552150886622,0.49440704123011264,1.1715622563187749,390
SAT_TAMA_ratio,F,high,1.2603631407841691,0.35476953534994093,1.61513267613411,700
