config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_guarded,0.65,0.75,0.75,0.55,5376,"---+,-+-+,--++",3,True,0.13111228073609077,0.0625,0.03875968992248058,0.04162330905306977,0.04640998959417275,0.011954466450485007,45,0.07587129054520358
direct_vote_guarded,0.55,0.75,0.75,0.55,3328,"---+,-+-+,++-+",3,True,0.1307864818090609,0.125,0.03100775193798455,0.0395421436004163,0.04245577523413113,0.014012097856711953,40,0.05938095238095238
direct_vote_guarded,0.65,0.65,0.75,0.55,5376,"---+,-+-+,--++",3,True,0.13011297178103653,0.0625,0.03875968992248058,0.04162330905306977,0.0457856399583767,0.011954466450485007,45,0.07662190825928106
direct_vote_guarded,0.55,0.65,0.55,0.55,1168,"--+-,+++-,-+-+",3,True,0.12875843252011457,0.125,0.03100775193798444,0.03850156087408951,0.043704474505723234,0.006524712066224276,39,0.06209838389633469
direct_vote_guarded,0.75,0.75,0.75,0.75,22,"+---,-+--,--+-",3,True,0.12855119342933125,0.125,0.03100775193798444,0.0385015608740894,0.04183142559833506,0.01222891032887056,39,0.05273115008003661
direct_vote_guarded,0.55,0.65,0.65,0.55,1044,"-+--,--+-,-+-+",3,True,0.12779141937944472,0.125,0.03100775193798455,0.03850156087408951,0.04349635796045785,0.013640959383959634,41,0.06431493063821499
direct_vote_guarded,0.7,0.7,0.7,0.7,28,"-+--,++--,--+-",3,True,0.12777323173730007,0.0625,0.03875968992248069,0.04058272632674298,0.04453694068678462,0.02736010821264167,42,0.06576818816505367
direct_vote_guarded,0.65,0.65,0.55,0.75,208,"--+-,-++-,+++-",3,True,0.12775921653208938,0.0625,0.03875968992248058,0.04058272632674298,0.04786680541103017,0.023246086401966296,43,0.08346866729682781
direct_vote_guarded,0.75,0.75,0.75,0.75,84,"-+--,--+-,-++-",3,True,0.12757324178527973,0.125,0.03100775193798444,0.0385015608740894,0.04120707596253901,0.01222891032887056,39,0.05339633855010313
direct_vote_guarded,0.55,0.55,0.75,0.55,1156,"-+--,+++-,-+-+",3,True,0.1274092967434092,0.0625,0.03875968992248058,0.0395421436004163,0.046201873048907396,0.014012097856711953,41,0.06446242453621015
direct_vote_guarded,0.55,0.65,0.55,0.65,276,"-+--,--+-,---+",3,True,0.12689235004994265,0.0625,0.03875968992248058,0.04058272632674298,0.04391259105098855,0.028394466102393545,41,0.06596234817716412
direct_vote_guarded,0.45,0.45,0.45,0.45,1104,"--+-,-++-,-+-+",3,True,0.12688097946297547,0.25,0.023255813953488413,0.03537981269510926,0.042039542143600415,0.003336568411318258,36,0.0516515979306677
direct_vote_guarded,0.6,0.6,0.6,0.6,1168,"--+-,+++-,-+-+",3,True,0.12687384195733423,0.125,0.03100775193798455,0.03537981269510926,0.048907388137356914,0.005981396843943101,37,0.059274384101970314
direct_vote_guarded,0.65,0.75,0.65,0.55,5376,"---+,-+-+,--++",3,True,0.12664583334279725,0.0625,0.03875968992248058,0.04058272632674298,0.04516129032258063,0.017480368882323946,44,0.07431477899563005
direct_vote_guarded,0.5,0.5,0.5,0.5,1040,"--+-,-+-+",2,True,0.12560173632503582,0.25,0.023255813953488302,0.03537981269510926,0.041415192507804365,0.02736010821264167,35,0.051600069192181276
direct_vote_guarded,0.55,0.55,0.65,0.55,33796,"-+--,-+-+,++++",3,True,0.12553681660784696,0.0625,0.03875968992248058,0.03850156087408951,0.04640998959417273,0.013481835312076126,39,0.060589979401488206
direct_vote_guarded,0.6,0.6,0.6,0.6,1092,"-+--,-++-,-+-+",3,True,0.12477521971441756,0.125,0.03100775193798455,0.03642039542143605,0.0457856399583767,0.019969260262020994,39,0.06280374618541512
direct_vote_guarded,0.65,0.65,0.75,0.55,1280,"---+,-+-+",2,True,0.12476640891870529,0.0625,0.03875968992248058,0.04058272632674298,0.0445369406867846,0.017480368882323946,44,0.07858585858585858
direct_vote_guarded,0.65,0.75,0.75,0.55,1280,"---+,-+-+",2,True,0.12476640891870529,0.0625,0.03875968992248058,0.04058272632674298,0.0445369406867846,0.017480368882323946,44,0.07858585858585858
direct_vote_guarded,0.45,0.45,0.45,0.45,33792,"-+-+,++++",2,True,0.12466510499557178,0.125,0.03100775193798455,0.03642039542143605,0.0445369406867846,0.020683710544908814,39,0.0566938128258883
direct_vote_guarded,0.7,0.7,0.7,0.7,532,"-+--,--+-,+--+",3,True,0.12429467977447202,0.0625,0.03875968992248069,0.03954214360041619,0.044328824141519264,0.0273173212659149,41,0.06611662022080281
direct_vote_guarded,0.55,0.55,0.75,0.55,33796,"-+--,-+-+,++++",3,True,0.12388635145661675,0.0625,0.03875968992248058,0.03850156087408951,0.045993756503642035,0.013640959383959634,40,0.06501469800989886
direct_vote_guarded,0.65,0.65,0.55,0.75,1104,"--+-,-++-,-+-+",3,True,0.12317864143180277,0.0625,0.03875968992248058,0.03850156087408951,0.048907388137356914,0.023246086401966296,41,0.0822280124430317
direct_vote_guarded,0.75,0.75,0.75,0.75,278,"+---,-+--,--+-,---+",4,True,0.1229189026951859,0.0625,0.03875968992248058,0.03850156087408951,0.044328824141519264,0.025740877476819822,42,0.05925885132515514
direct_vote_guarded,0.65,0.65,0.75,0.65,1156,"-+--,+++-,-+-+",3,True,0.12272683280575362,0.0625,0.03875968992248058,0.03850156087408951,0.04474505723204995,0.017480368882323946,40,0.06285238364120352
direct_vote_guarded,0.55,0.75,0.65,0.55,1296,"--+-,---+,-+-+",3,True,0.12262053146854127,0.0625,0.03875968992248069,0.0395421436004163,0.04328824141519254,0.026785083860218665,40,0.06744476226008375
direct_vote_guarded,0.55,0.75,0.65,0.55,3328,"---+,-+-+,++-+",3,True,0.12250671858977971,0.125,0.03100775193798455,0.037460978147762725,0.04058272632674298,0.013640959383959634,38,0.057815856585636094
direct_vote_guarded,0.65,0.65,0.75,0.65,1092,"-+--,-++-,-+-+",3,True,0.12208988855797122,0.0625,0.03875968992248058,0.03850156087408951,0.0445369406867846,0.025740877476819822,40,0.06365711390939353
direct_vote_guarded,0.65,0.65,0.65,0.65,1156,"-+--,+++-,-+-+",3,True,0.12185321402844076,0.0625,0.03875968992248058,0.03850156087408951,0.043704474505723234,0.025740877476819822,40,0.0602749878859962
direct_vote_guarded,0.65,0.65,0.75,0.55,5124,"-+--,-+-+,--++",3,True,0.12143858901023545,0.0625,0.03875968992248058,0.03850156087408951,0.0441207075962539,0.025740877476819822,40,0.06409790002957705
direct_vote_guarded,0.55,0.55,0.55,0.65,1168,"--+-,+++-,-+-+",3,True,0.12128991272206073,0.25,0.023255813953488413,0.03329864724245579,0.04308012486992716,0.0035765930138066428,34,0.05443370767118505
