config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_guarded,0.75,0.75,0.65,0.75,148,"-+--,--+-,+++-",3,True,0.16800322308064322,0.0625,0.03875968992248058,0.04994797086368363,0.051821019771071807,0.0036516061713110608,51,0.05700504863656917
direct_vote_balanced,0.65,0.75,0.55,0.65,1296,"--+-,---+,-+-+",3,True,0.16733803855417043,0.0625,0.03875968992248069,0.04994797086368363,0.05411030176899061,0.004978005415341514,53,0.07146394119211516
direct_vote_balanced,0.5,0.5,0.5,0.5,1072,"--+-,+-+-,-+-+",3,True,0.16703072642081998,0.125,0.03100775193798444,0.04682622268470349,0.05223725286160252,0.0042919587102383345,49,0.05345421773993203
direct_vote_balanced,0.65,0.65,0.65,0.75,1044,"-+--,--+-,-+-+",3,True,0.1664864917322412,0.0625,0.03875968992248069,0.04682622268470349,0.06056191467221646,0.00210008050510384,49,0.07118777142166398
direct_vote_balanced,0.65,0.65,0.65,0.65,1044,"-+--,--+-,-+-+",3,True,0.16516983900386936,0.0625,0.03875968992248069,0.04682622268470349,0.059729448491155065,0.0020856178052536824,49,0.07212671520962001
direct_vote_guarded,0.45,0.45,0.45,0.45,1072,"--+-,+-+-,-+-+",3,True,0.1643933098067071,0.0625,0.03875968992248058,0.048907388137356955,0.05473465140478666,0.004746900603468755,51,0.07402096995713818
direct_vote_guarded,0.65,0.55,0.65,0.55,1168,"--+-,+++-,-+-+",3,True,0.16429663660109137,0.0625,0.03875968992248069,0.048907388137356955,0.054734651404786706,0.0036815878444302263,52,0.07449288780032398
direct_vote_guarded,0.75,0.65,0.65,0.65,1104,"--+-,-++-,-+-+",3,True,0.16401847975455058,0.0625,0.03875968992248069,0.048907388137356955,0.053485952133194584,0.005452568992066769,50,0.06897060048239721
direct_vote_balanced,0.65,0.65,0.55,0.75,208,"--+-,-++-,+++-",3,True,0.16339407779627443,0.125,0.03100775193798455,0.04682622268470338,0.05098855359001038,0.005119032419450764,48,0.06144141012909633
direct_vote_balanced,0.55,0.65,0.55,0.75,164,"-+--,+-+-,+++-",3,True,0.16331063507754578,0.125,0.03100775193798455,0.0457856399583767,0.05244536940686786,0.0015317056298390858,48,0.05715061667891856
direct_vote_balanced,0.55,0.55,0.55,0.65,32788,"-+--,--+-,++++",3,True,0.16297634148967752,0.125,0.03100775193798455,0.0457856399583767,0.05265348595213317,0.0024632659365795857,47,0.05949547224123203
direct_vote_balanced,0.5,0.5,0.5,0.5,32816,"--+-,+-+-,++++",3,True,0.16291670147630105,0.0625,0.03875968992248069,0.04786680541103017,0.055150884495317375,0.009058961157600968,51,0.06925985778926955
direct_vote_balanced,0.65,0.55,0.65,0.55,17424,"--+-,-+-+,-+++",3,True,0.16231421258463025,0.0625,0.03875968992248069,0.04786680541103017,0.054942767950052,0.004414130676693636,50,0.0709591937590455
direct_vote_balanced,0.55,0.55,0.65,0.75,196,"-+--,-++-,+++-",3,True,0.16226610756048845,0.25,0.023255813953488413,0.043704474505723234,0.05078043704474504,0.0011675302572592243,45,0.055633203806260134
direct_vote_balanced,0.55,0.55,0.55,0.65,1044,"-+--,--+-,-+-+",3,True,0.1619704314515413,0.0625,0.03875968992248069,0.04786680541103017,0.05306971904266389,0.005537910675770759,49,0.06250456157305691
