config,seed,fold,best_epoch,best_val_loss,pos_weight_mean
direct_vote_balanced,20260701,0,176,0.6056677103042603,5.528228282928467
direct_vote_balanced,20260701,1,177,0.6715517044067383,5.502863883972168
direct_vote_balanced,20260701,2,179,0.6237378716468811,5.73618221282959
direct_vote_balanced,20260701,3,177,0.6643575429916382,5.692701816558838
direct_vote_balanced,20260701,4,179,0.5962710380554199,5.619729042053223
direct_vote_balanced,20260711,0,178,0.6228534579277039,5.526425838470459
direct_vote_balanced,20260711,1,174,0.6305687427520752,5.559750556945801
direct_vote_balanced,20260711,2,179,0.6938040256500244,5.482572555541992
direct_vote_balanced,20260711,3,178,0.6646134853363037,5.9259934425354
direct_vote_balanced,20260711,4,178,0.5817817449569702,5.593968868255615
direct_vote_guarded,20260701,0,176,0.7059491276741028,5.3655571937561035
direct_vote_guarded,20260701,1,177,0.7606831789016724,5.3470869064331055
direct_vote_guarded,20260701,2,179,0.7426935434341431,5.570087432861328
direct_vote_guarded,20260701,3,177,0.755851149559021,5.525920391082764
direct_vote_guarded,20260701,4,179,0.7057943344116211,5.4586381912231445
direct_vote_guarded,20260711,0,178,0.7193243503570557,5.367602348327637
direct_vote_guarded,20260711,1,175,0.7108128070831299,5.3988542556762695
direct_vote_guarded,20260711,2,179,0.8198334574699402,5.3275604248046875
direct_vote_guarded,20260711,3,176,0.7832964062690735,5.754908561706543
direct_vote_guarded,20260711,4,178,0.681861937046051,5.427032947540283
