rule,dataset,operating_point,pattern_code,pattern,n,events,event_rate
direct_vote_balanced_pattern_gate,sdata_external,S82.5,7,+++-,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,sdata_external,S82.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S82.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S82.5,10,-+-+,3,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S82.5,11,++-+,2,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S82.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S82.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S82.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S82.5,15,++++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,0,----,361,115,0.3185595567867036
direct_vote_balanced_pattern_gate,sdata_external,S85,1,+---,2,1,0.5
direct_vote_balanced_pattern_gate,sdata_external,S85,2,-+--,40,5,0.125
direct_vote_balanced_pattern_gate,sdata_external,S85,3,++--,4,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S85,4,--+-,31,2,0.06451612903225806
direct_vote_balanced_pattern_gate,sdata_external,S85,5,+-+-,3,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S85,6,-++-,6,1,0.16666666666666666
direct_vote_balanced_pattern_gate,sdata_external,S85,7,+++-,8,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S85,8,---+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,10,-+-+,2,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S85,11,++-+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,12,--++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S85,15,++++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,0,----,407,121,0.2972972972972973
direct_vote_balanced_pattern_gate,sdata_external,S87.5,1,+---,1,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S87.5,2,-+--,40,2,0.05
direct_vote_balanced_pattern_gate,sdata_external,S87.5,3,++--,5,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S87.5,4,--+-,30,3,0.1
direct_vote_balanced_pattern_gate,sdata_external,S87.5,5,+-+-,3,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S87.5,6,-++-,9,2,0.2222222222222222
direct_vote_balanced_pattern_gate,sdata_external,S87.5,7,+++-,7,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S87.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,10,-+-+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,11,++-+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S87.5,15,++++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,0,----,441,124,0.2811791383219955
direct_vote_balanced_pattern_gate,sdata_external,S90,1,+---,1,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S90,2,-+--,42,3,0.07142857142857142
direct_vote_balanced_pattern_gate,sdata_external,S90,3,++--,2,0,0.0
