feature,feature_index,width,lambda,company_eta2,screen_score,min_p_loss,max_sens_loss,min_spec_gain,mean_spec_gain,min_ba_delta,mean_ba_delta,max_fisher_p,min_deesc_n,mean_deesc_event_rate
smooth_norm__norm_slope_082_085_sd,451,0.7,0.7,0.10873871060692694,0.27472867038726206,0.0625,0.03875968992248058,0.0780437044745057,0.08470343392299688,0.022243464091829424,0.025297453395606916,2.392612936808167e-05,78,0.05103275311878776
smooth_visual__visual_norm_abs_slope_094_099_max,25,0.5,0.7,0.12901557244025474,0.2485327253184886,0.0625,0.03875968992248058,0.0718002081165453,0.07804370447450573,0.01860142454968572,0.02041720107446212,7.564749110554415e-05,73,0.060098681931537404
smooth_norm__norm_slope_082_085_sd,451,0.5,0.7,0.10873871060692694,0.24767351950276684,0.0625,0.03875968992248058,0.0718002081165453,0.07658688865764829,0.01808113318652238,0.022014374561382288,0.00015739288881177127,72,0.05387353864172532
smooth_visual__visual_norm_abs_slope_094_099_max,25,0.7,0.55,0.12901557244025474,0.2274088959740558,0.0625,0.03875968992248058,0.06659729448491158,0.07200832466181062,0.015999967733869025,0.018174704966564238,0.0003784028895414234,68,0.06228308259518337
smooth_norm__norm_slope_082_085_sd,451,0.7,0.55,0.10873871060692694,0.22665374843096664,0.0625,0.03875968992248058,0.0655567117585848,0.07159209157127992,0.017560841823359152,0.02106736361509729,0.00011591161187414698,65,0.051794660890490375
smooth_visual__visual_norm_abs_slope_094_099_max,25,0.35,0.7,0.12901557244025474,0.2236627981592795,0.0625,0.03875968992248058,0.06659729448491158,0.06909469302809575,0.014959385007542236,0.01826827674660596,0.001017520132306347,67,0.059258558446025886
smooth_visual__visual_norm_slope_082_087_sd,216,0.5,0.7,0.11953008675526021,0.22320054798983505,0.0625,0.03875968992248058,0.0655567117585848,0.07200832466181062,0.013398510918052109,0.017399511168114577,0.00058659907659442,68,0.0652537868446416
smooth_norm__log_slope_082_085_sd,486,0.7,0.55,0.08170227707890046,0.2182240924798965,0.0625,0.03875968992248069,0.06347554630593133,0.06992715920915715,0.013918802281215448,0.019459703635586266,0.00018988449405123907,64,0.056318046020849236
smooth_norm__norm_curv_103_110_mean,509,0.7,0.55,0.04938503855357004,0.21768820679184012,0.125,0.03100775193798455,0.06139438085327786,0.06763787721123829,0.01623389718397339,0.020640644031975696,0.00043909707265939895,62,0.05027104388439001
smooth_norm__norm_slope_082_085_sd,451,0.35,0.7,0.10873871060692694,0.21499922189610712,0.0625,0.03875968992248058,0.06347554630593133,0.06763787721123829,0.014439093644378898,0.019865450233526084,0.0001841406311531867,64,0.05227839145013143
smooth_visual__visual_norm_slope_082_087_sd,216,0.7,0.55,0.11953008675526021,0.21321095381709834,0.0625,0.03875968992248058,0.06347554630593133,0.06805411030176903,0.01235792819172532,0.019298372980341805,0.00030312282626535547,65,0.05510802922567629
