model,internal_auc,internal_auc_p,external_auc,external_auc_p,internal_delta_vs_clinical_auc,external_delta_vs_clinical_auc
clinical_only,0.8257588590696061,2.5049735519990642e-33,0.8345213895288432,9.563472250062879e-37,0.0,0.0
locked_aec_score_only,0.6413095209286193,1.8098560896494143e-07,0.5206035144780232,0.4355525187799353,-0.18444933814098685,-0.31391787505082
clinical_plus_locked_aec_score,0.8316998604489833,1.71614649849411e-34,0.8259655779915978,5.622280139611107e-35,0.005941001379377142,-0.008555811537245495
