feature,model,cohort,scanner,n,n_pos,auc
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,69,14,0.8558441558441559
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,122,12,0.6363636363636364
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,85,12,0.6929223744292237
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,111,6,0.8825396825396825
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,61,14,0.817629179331307
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,115,14,0.8741159830268741
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,58,8,0.905
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,84,8,0.9868421052631579
SAT(피하지방)_SUM,clinic4_aec_best,internal,Revolution CT,69,14,0.7935064935064935
SAT(피하지방)_SUM,clinic4_aec_best,internal,Sensation 64,122,12,0.6643939393939393
SAT(피하지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,85,12,0.747716894977169
SAT(피하지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,111,6,0.9190476190476191
SAT(피하지방)_SUM,clinic4_aec_best,external,Revolution EVO,61,14,0.864741641337386
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,115,14,0.8833097595473833
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Force,58,8,0.8875
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,84,8,0.9671052631578947
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,69,11,0.7836990595611285
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,122,17,0.6700280112044819
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,85,14,0.7967806841046278
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,111,11,0.9127272727272726
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,61,15,0.7376811594202899
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,115,17,0.865546218487395
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,58,9,0.8979591836734693
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,84,11,0.9302615193026151
VAT(내장지방)_SUM,clinic4,external,iCT 256,52,6,0.6630434782608695
VAT(내장지방)_SUM,clinic4_aec_best,internal,Revolution CT,69,11,0.8354231974921631
VAT(내장지방)_SUM,clinic4_aec_best,internal,Sensation 64,122,17,0.7753501400560223
VAT(내장지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,85,14,0.8752515090543259
VAT(내장지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,111,11,0.9590909090909091
VAT(내장지방)_SUM,clinic4_aec_best,external,Revolution EVO,61,15,0.8043478260869565
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,115,17,0.9213685474189676
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Force,58,9,0.9546485260770976
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,84,11,0.9165628891656289
VAT(내장지방)_SUM,clinic4_aec_best,external,iCT 256,52,6,0.6992753623188406
Total Fat_SUM,clinic4,internal,Revolution CT,69,10,0.888135593220339
Total Fat_SUM,clinic4,internal,Sensation 64,122,13,0.6654904728299224
Total Fat_SUM,clinic4,internal,SOMATOM Definition AS+,85,14,0.7052313883299799
Total Fat_SUM,clinic4,internal,Ingenuity Core 128,111,7,0.9725274725274725
Total Fat_SUM,clinic4,external,Revolution EVO,61,16,0.7986111111111112
Total Fat_SUM,clinic4,external,SOMATOM Definition Flash,115,14,0.9476661951909477
Total Fat_SUM,clinic4,external,SOMATOM Force,58,9,0.979591836734694
Total Fat_SUM,clinic4,external,SOMATOM Definition AS+,84,9,0.957037037037037
Total Fat_SUM,clinic4,external,iCT 256,52,2,0.79
Total Fat_SUM,clinic4_aec_best,internal,Revolution CT,69,10,0.8288135593220338
Total Fat_SUM,clinic4_aec_best,internal,Sensation 64,122,13,0.7064220183486238
Total Fat_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,85,14,0.8148893360160966
Total Fat_SUM,clinic4_aec_best,internal,Ingenuity Core 128,111,7,0.9505494505494506
Total Fat_SUM,clinic4_aec_best,external,Revolution EVO,61,16,0.8486111111111111
Total Fat_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,115,14,0.925035360678925
Total Fat_SUM,clinic4_aec_best,external,SOMATOM Force,58,9,0.9863945578231292
Total Fat_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,84,9,0.8251851851851851
Total Fat_SUM,clinic4_aec_best,external,iCT 256,52,2,0.88
VAT_TotalFat_ratio,clinic4,internal,Revolution CT,69,10,0.6186440677966102
VAT_TotalFat_ratio,clinic4,internal,Sensation 64,122,28,0.5938449848024316
VAT_TotalFat_ratio,clinic4,internal,SOMATOM Definition AS+,85,8,0.5892857142857143
VAT_TotalFat_ratio,clinic4,internal,Ingenuity Core 128,111,14,0.6089837997054491
VAT_TotalFat_ratio,clinic4,external,Revolution EVO,61,13,0.6826923076923077
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition Flash,115,15,0.7313333333333333
VAT_TotalFat_ratio,clinic4,external,SOMATOM Force,58,7,0.6134453781512605
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition AS+,84,17,0.6804214223002634
VAT_TotalFat_ratio,clinic4,external,iCT 256,52,7,0.7015873015873015
VAT_TotalFat_ratio,clinic4_aec_best,internal,Revolution CT,69,10,0.7983050847457627
VAT_TotalFat_ratio,clinic4_aec_best,internal,Sensation 64,122,28,0.7910334346504558
VAT_TotalFat_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,85,8,0.8685064935064934
VAT_TotalFat_ratio,clinic4_aec_best,internal,Ingenuity Core 128,111,14,0.7739322533136966
VAT_TotalFat_ratio,clinic4_aec_best,external,Revolution EVO,61,13,0.6875
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,115,15,0.7146666666666666
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Force,58,7,0.7507002801120448
VAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,84,17,0.7989464442493415
VAT_TotalFat_ratio,clinic4_aec_best,external,iCT 256,52,7,0.5174603174603175
VAT_SAT_ratio,clinic4,internal,Revolution CT,69,10,0.6186440677966102
VAT_SAT_ratio,clinic4,internal,Sensation 64,122,28,0.5938449848024316
VAT_SAT_ratio,clinic4,internal,SOMATOM Definition AS+,85,8,0.5892857142857143
VAT_SAT_ratio,clinic4,internal,Ingenuity Core 128,111,14,0.6089837997054491
VAT_SAT_ratio,clinic4,external,Revolution EVO,61,12,0.6700680272108843
VAT_SAT_ratio,clinic4,external,SOMATOM Definition Flash,115,15,0.7313333333333333
VAT_SAT_ratio,clinic4,external,SOMATOM Force,58,5,0.709433962264151
VAT_SAT_ratio,clinic4,external,SOMATOM Definition AS+,84,16,0.6700367647058824
VAT_SAT_ratio,clinic4,external,iCT 256,52,6,0.7065217391304348
VAT_SAT_ratio,clinic4_aec_best,internal,Revolution CT,69,10,0.7983050847457627
VAT_SAT_ratio,clinic4_aec_best,internal,Sensation 64,122,28,0.7910334346504558
VAT_SAT_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,85,8,0.8685064935064934
VAT_SAT_ratio,clinic4_aec_best,internal,Ingenuity Core 128,111,14,0.7739322533136966
VAT_SAT_ratio,clinic4_aec_best,external,Revolution EVO,61,12,0.6921768707482994
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,115,15,0.7146666666666666
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Force,58,5,0.7849056603773585
VAT_SAT_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,84,16,0.7794117647058822
VAT_SAT_ratio,clinic4_aec_best,external,iCT 256,52,6,0.5326086956521738
VAT_TAMA_ratio,clinic4,internal,Revolution CT,69,9,0.6833333333333332
VAT_TAMA_ratio,clinic4,internal,Sensation 64,122,17,0.7955182072829131
VAT_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,85,8,0.6915584415584415
VAT_TAMA_ratio,clinic4,internal,Ingenuity Core 128,111,11,0.68
VAT_TAMA_ratio,clinic4,external,Revolution EVO,61,12,0.6547619047619048
VAT_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,115,17,0.7358943577430972
VAT_TAMA_ratio,clinic4,external,SOMATOM Force,58,10,0.9208333333333333
VAT_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,84,13,0.8829902491874323
VAT_TAMA_ratio,clinic4,external,iCT 256,52,7,0.6793650793650794
VAT_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,69,9,0.7444444444444445
VAT_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,122,17,0.9002801120448178
VAT_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,85,8,0.8068181818181818
VAT_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,111,11,0.8681818181818182
