metric,mean,ci_low,ci_high,p_le_0
delta_auc,0.008386172800223473,-0.0009581638961713738,0.01960070823737175,0.042
delta_sens,-0.021357887705817338,-0.05426752096187321,0.007462686567164092,0.9524
delta_spec,0.12009696915516356,0.09641305590935935,0.14377773247498704,0.0
delta_ppv,0.06173608230175713,0.045019229527131104,0.07975667223446162,0.0
delta_npv,0.0006764300381985386,-0.008394797876550803,0.009092824000843594,0.4238
delta_fp,-94.2744,-113.0,-76.0,1.0
delta_tp,-3.0118,-8.0,1.0,0.9524
