delta_auc,delta_sens,delta_spec,delta_ppv,delta_npv,delta_fp,delta_tp
0.00861001942449291,-0.02127659574468077,0.11974522292993628,0.07248325686863888,-0.0003436426116838476,-94,-3
0.0069050005568548345,-0.03252032520325199,0.136986301369863,0.06683209263854425,-0.0022257851551447105,-110,-4
0.013780440664862836,-0.015384615384615441,0.11180904522613067,0.056302571497236276,0.00230212007433539,-89,-2
0.014039842797127,-0.007092198581560294,0.1273885350318471,0.06731530343007913,0.004381829957124439,-100,-1
0.008924408924408933,-0.03846153846153855,0.11038961038961037,0.053085250629533176,-0.0050980098633600646,-85,-6
0.010507693132472018,0.008695652173912993,0.12453760789149193,0.06317240369837279,0.007779583483808805,-101,1
0.009941989161132758,-0.053030303030303094,0.128463476070529,0.05631811413771101,-0.0040587180968464365,-102,-7
0.0019112432905536991,-0.020979020979021046,0.12260536398467436,0.06305185922148987,0.0008997984451482033,-96,-3
0.016097766540244418,-0.014814814814814725,0.1403286978508217,0.07082054223031858,0.0032631374642146938,-111,-2
0.0218790218790218,-0.03355704697986572,0.13384813384813388,0.0692953748343128,-0.0007949497311199316,-104,-5
0.009062170706006345,-0.03424657534246578,0.11666666666666659,0.062312593703148456,-0.004864311315924241,-91,-5
0.007639393292031671,-0.0066225165562913135,0.11612903225806448,0.06756563219530465,0.002236835672028481,-90,-1
0.001954054409784467,-0.0325203252032521,0.136986301369863,0.061708860759493694,-0.0008286688139090836,-110,-4
0.0037645482049412093,-0.007874015748031482,0.1088861076345432,0.05625281151596945,0.000983732424780448,-87,-1
0.009112523475155676,-0.029197080291970767,0.1267427122940431,0.054762012498931645,-0.0015478705659957015,-100,-4
0.009079821113972097,-0.021276595744680882,0.12356687898089169,0.06159607438016529,-0.0005259554857991455,-97,-3
0.004936200273742752,-0.01379310344827589,0.12163892445582591,0.06193479869983587,0.0027840481565086783,-95,-2
0.01065156304882331,-0.0273972602739726,0.11538461538461542,0.05685588736436192,-0.0004984083089488722,-90,-4
0.007754786672697134,-0.007462686567164201,0.11111111111111116,0.05893388240677194,0.002745020705975154,-88,-1
0.005079365079365128,-0.007936507936507908,0.10375000000000001,0.04954630977519747,0.0041012985486809095,-83,-1
0.019668311403508776,-0.015625,0.12907268170426067,0.06638089406001221,0.0028111212164488864,-103,-2
0.011312444694714818,0.008064516129032251,0.11596009975062338,0.06818181818181818,0.006065031011898703,-93,1
0.007454242353571283,-0.006711409395973145,0.11583011583011593,0.06962729131542134,0.0037579957356076443,-90,-1
0.006134133042529966,-0.0357142857142857,0.11704834605597969,0.0557974520238671,-0.0029033400212439275,-92,-5
0.00860945644080413,-0.02941176470588236,0.14050632911392402,0.06891812865497071,0.0005915398055361676,-111,-4
0.008578431372548989,-0.00694444444444442,0.11892583120204603,0.06749551042961738,0.0016070302487845023,-93,-1
0.0029304236393788985,-0.02985074626865669,0.12878787878787878,0.06797443244434648,-0.0010818090496639288,-102,-4
0.010652920962199386,0.0,0.13788659793814428,0.0784377854718109,0.008606821106821094,-107,0
0.0004456285733248633,-0.007518796992481258,0.1172761664564943,0.07083266269649657,0.003543472183393903,-93,-1
0.008838790121470486,-0.024193548387096753,0.1197007481296758,0.05934133100034755,-0.001544269045984925,-96,-3
0.007402084081925997,-0.06611570247933884,0.11180124223602483,0.039210789210789215,-0.008221867713829933,-90,-8
0.009461481876062217,-0.019607843137254832,0.13842173350582143,0.07314216845552118,0.004744303635432656,-107,-3
0.014219991635299079,-0.054263565891472965,0.11543287327478047,0.05183896434317359,-0.0074808912018214935,-92,-7
0.004035951454087416,-0.030303030303030276,0.11586901763224178,0.04868715829867487,0.00014831843968998726,-92,-4
0.0046439350388043366,-0.028169014084507005,0.10841836734693877,0.05446089395391768,-0.0010357685402568872,-85,-4
0.009122342382108406,-0.021739130434782594,0.12436548223350252,0.06634763086375989,-0.0002701847291590731,-98,-3
0.01308132811560414,-0.029197080291970767,0.12801013941698358,0.06129476584022037,0.0010393478480069662,-101,-4
0.014543241091913628,-0.007407407407407418,0.1302149178255373,0.07270485662543286,0.0030532047040249255,-103,-1
0.0053524804177546015,-0.012499999999999956,0.12140992167101827,0.060448676695358416,0.00586932447397559,-93,-2
0.01821644150617996,-0.014084507042253613,0.13137755102040816,0.06692384736453988,0.0036799094176144242,-103,-2
0.008521347520861866,-0.03448275862068961,0.1306017925736236,0.07224795518636196,-0.0016002041262667133,-102,-5
-0.000808421960333483,-0.04929577464788726,0.11352040816326536,0.05495291902071564,-0.005891167655873608,-89,-7
0.013116328196264848,-0.01526717557251911,0.11446540880503142,0.0585805459626344,0.0027373631318433622,-91,-2
0.011932884040853131,-0.027027027027027084,0.13753213367609252,0.07567958357432042,-0.001424276617402187,-107,-4
0.002429262844378277,-0.007352941176470562,0.1240506329113924,0.06698631412345218,0.004005903436643421,-98,-1
0.009020353847939977,-0.006993006993006978,0.12005108556832689,0.06809324819231855,0.004091285600377748,-94,-1
0.010217180582117402,-0.04081632653061229,0.10269576379974332,0.050500070432455246,-0.005854855132833459,-80,-6
0.004920634920634881,-0.023809523809523725,0.11875000000000002,0.058236293061620564,-0.00012080577451600849,-95,-3
0.006317589935996515,-0.036231884057971064,0.12055837563451777,0.053473684210526284,-0.001428565679816196,-95,-5
0.009541716017990143,-0.006369426751592355,0.13003901170351106,0.0708089954775371,0.005142102703078355,-100,-1
0.0027438310624150475,-0.02962962962962956,0.12136536030341338,0.05744442197010094,0.0015888421312968415,-96,-4
0.006808477527160961,-0.023255813953488413,0.11919698870765372,0.056410256410256404,0.0003769909836323082,-95,-3
0.010879520412977683,0.0,0.12801013941698347,0.06833118556701029,0.004648107705566895,-101,0
0.008831429348565178,-0.0328947368421052,0.12273901808785537,0.05254154447702836,0.0010969723562966882,-95,-5
0.013911084331036605,0.0,0.1193838254172015,0.07257614983463195,0.007238695329873979,-93,0
0.013419487755770954,-0.007407407407407418,0.11883691529709228,0.06410071336629497,0.004713758710206295,-94,-1
0.007446016381236098,-0.007352941176470562,0.14050632911392402,0.07417582417582419,0.005749308026888111,-111,-1
0.0048288707340868875,-0.03149606299212604,0.11264080100125151,0.05074416333616649,-0.000696845637329746,-90,-4
0.012044403644770885,0.0,0.11627906976744184,0.0722673893405601,0.005535927786897599,-90,0
0.0024850720056199815,-0.03424657534246578,0.13717948717948714,0.06981580510992275,-0.003985507246376807,-107,-5
0.007371692373291383,-0.03144654088050314,0.105606258148631,0.052036199095022606,-0.002553897180762821,-81,-5
0.000163230240549872,-0.033333333333333326,0.11855670103092786,0.057909604519774005,-0.001319187380573572,-92,-5
0.007066938037087356,-0.03731343283582089,0.11742424242424243,0.05269036752342063,-0.0010349130977383991,-93,-5
0.005576225169800608,-0.014388489208633115,0.10419313850063538,0.05420479302832243,0.0019198109724581913,-82,-2
0.00992708758023686,-0.015037593984962405,0.11475409836065575,0.05676978847710554,0.003246300996718854,-91,-2
0.007531980686343087,-0.033557046979865834,0.10553410553410558,0.05380094443249117,-0.004645894602972822,-82,-5
0.00871930044767999,-0.006451612903225712,0.11154345006485089,0.06393332328001206,0.005984104721832639,-86,-1
0.018393852849177272,0.013157894736842146,0.10981912144702843,0.06864046579330424,0.01038903625110521,-85,2
0.003961267605633756,-0.04225352112676051,0.12117346938775508,0.059384850838320624,-0.006401555740762843,-95,-6
0.009376246194547355,-0.007751937984496138,0.11668757841907151,0.0644840326761349,0.0037345108883762856,-93,-1
0.005093080435546127,-0.013698630136986356,0.1166666666666667,0.061304376310272524,0.0020422587299369077,-91,-2
0.005435591958302344,-0.02941176470588236,0.12278481012658227,0.05752884886011822,-0.0007551656544233509,-97,-4
0.005217729177652619,-0.014598540145985384,0.11153358681875791,0.05626780626780625,0.002087782488126688,-88,-2
0.006384227580828017,-0.012269938650306678,0.13630406290956754,0.07421107152783046,0.00327905173368781,-104,-2
0.01718040372052443,-0.03007518796992481,0.1172761664564943,0.049276456011176945,-0.0020435132675208356,-93,-4
0.008299798792756441,-0.028169014084507116,0.1339285714285714,0.07077922839614786,-0.0011456628477904962,-105,-4
0.004275793650793669,-0.007936507936507908,0.11875000000000002,0.06935552710200596,0.004765100671140998,-95,-1
0.010787369562271332,-0.007092198581560294,0.11337579617834392,0.05961814777724561,0.0033333333333332993,-89,-1
0.0073980427962729856,-0.007407407407407307,0.1378002528445007,0.0795363035376519,0.004390278298368244,-109,-1
